ID,TEXT
312.1,"this part implements the children s online privacy protection act of 1998, 15 u.s.c. 6501, et seq., which prohibits unfair or deceptive acts or practices in connection with the collection, use, and or disclosure of personal information from and about children on the internet."
312.2,"child means an individual under the age of 13.collects or collection means the gathering of any personal information from a child by any means, including but not limited to 1 requesting, prompting, or encouraging a child to submit personal information online 2 enabling a child to make personal information publicly available in identifiable form. an operator shall not be considered to have collected personal information under this paragraph if it takes reasonable measures to delete all or virtually all personal information from a child s postings before they are made public and also to delete such information from its records or 3 passive tracking of a child online.commission means the federal trade commission.delete means to remove personal information such that it is not maintained in retrievable form and cannot be retrieved in the normal course of business.disclose or disclosure means, with respect to personal information 1 the release of personal information collected by an operator from a child in identifiable form for any purpose, except where an operator provides such information to a person who provides support for the internal operations of the web site or online service and 2 making personal information collected by an operator from a child publicly available in identifiable form by any means, including but not limited to a public posting through the internet, or through a personal home page or screen posted on a web site or online service a pen pal service an electronic mail service a message board or a chat room.federal agency means an agency, as that term is defined in section 551 1 of title 5, united states code.internet means collectively the myriad of computer and telecommunications facilities, including equipment and operating software, which comprise the interconnected world-wide network of networks that employ the transmission control protocol internet protocol, or any predecessor or successor protocols to such protocol, to communicate information of all kinds by wire, radio, or other methods of transmission.obtaining verifiable consent means making any reasonable effort taking into consideration available technology to ensure that before personal information is collected from a child, a parent of the child 1 receives notice of the operator s personal information collection, use, and disclosure practices and 2 authorizes any collection, use, and or disclosure of the personal information.online contact information means an email address or any other substantially similar identifier that permits direct contact with a person online, including but not limited to, an instant messaging user identifier, a voice over internet protocol voip identifier, or a video chat user identifier.operator means any person who operates a web site located on the internet or an online service and who collects or maintains personal information from or about the users of or visitors to such web site or online service, or on whose behalf such information is collected or maintained, or offers products or services for sale through that web site or online service, where such web site or online service is operated for commercial purposes involving commerce among the several states or with 1 or more foreign nations in any territory of the united states or in the district of columbia, or between any such territory and another such territory or any state or foreign nation or between the district of columbia and any state, territory, or foreign nation. this definition does not include any nonprofit entity that would otherwise be exempt from coverage under section 5 of the federal trade commission act 15 u.s.c. 45 . personal information is collected or maintained on behalf of an operator when 1 it is collected or maintained by an agent or service provider of the operator or 2 the operator benefits by allowing another person to collect personal information directly from users of such web site or online service.parent includes a legal guardian.person means any individual, partnership, corporation, trust, estate, cooperative, association, or other entity.personal information means individually identifiable information about an individual collected online, including 1 a first and last name 2 a home or other physical address including street name and name of a city or town 3 online contact information as defined in this section 4 a screen or user name where it functions in the same manner as online contact information, as defined in this section 5 a telephone number 6 a social security number 7 a persistent identifier that can be used to recognize a user over time and across different web sites or online services. such persistent identifier includes, but is not limited to, a customer number held in a cookie, an internet protocol ip address, a processor or device serial number, or unique device identifier 8 a photograph, video, or audio file where such file contains a child s image or voice 9 geolocation information sufficient to identify street name and name of a city or town or 10 information concerning the child or the parents of that child that the operator collects online from the child and combines with an identifier described in this definition.release of personal information means the sharing, selling, renting, or transfer of personal information to any third party.support for the internal operations of the web site or online service means 1 those activities necessary to i maintain or analyze the functioning of the web site or online service ii perform network communications iii authenticate users of, or personalize the content on, the web site or online service iv serve contextual advertising on the web site or online service or cap the frequency of advertising v protect the security or integrity of the user, web site, or online service vi ensure legal or regulatory compliance or vii fulfill a request of a child as permitted by 312.5 c 3 and 4 2 so long as the information collected for the activities listed in paragraphs 1 i vii of this definition is not used or disclosed to contact a specific individual, including through behavioral advertising, to amass a profile on a specific individual, or for any other purpose.third party means any person who is not 1 an operator with respect to the collection or maintenance of personal information on the web site or online service or 2 a person who provides support for the internal operations of the web site or online service and who does not use or disclose information protected under this part for any other purpose.web site or online service directed to children means a commercial web site or online service, or portion thereof, that is targeted to children. 1 in determining whether a web site or online service, or a portion thereof, is directed to children, the commission will consider its subject matter, visual content, use of animated characters or child-oriented activities and incentives, music or other audio content, age of models, presence of child celebrities or celebrities who appeal to children, language or other characteristics of the web site or online service, as well as whether advertising promoting or appearing on the web site or online service is directed to children. the commission will also consider competent and reliable empirical evidence regarding audience composition, and evidence regarding the intended audience. 2 a web site or online service shall be deemed directed to children when it has actual knowledge that it is collecting personal information directly from users of another web site or online service directed to children. 3 a web site or online service that is directed to children under the criteria set forth in paragraph 1 of this definition, but that does not target children as its primary audience, shall not be deemed directed to children if it i does not collect personal information from any visitor prior to collecting age information and ii prevents the collection, use, or disclosure of personal information from visitors who identify themselves as under age 13 without first complying with the notice and parental consent provisions of this part. 4 a web site or online service shall not be deemed directed to children solely because it refers or links to a commercial web site or online service directed to children by using information location tools, including a directory, index, reference, pointer, or hypertext link."
312.3,"general requirements. it shall be unlawful for any operator of a web site or online service directed to children, or any operator that has actual knowledge that it is collecting or maintaining personal information from a child, to collect personal information from a child in a manner that violates the regulations prescribed under this part. generally, under this part, an operator must a provide notice on the web site or online service of what information it collects from children, how it uses such information, and its disclosure practices for such information 312.4 b b obtain verifiable parental consent prior to any collection, use, and or disclosure of personal information from children 312.5 c provide a reasonable means for a parent to review the personal information collected from a child and to refuse to permit its further use or maintenance 312.6 d not condition a child s participation in a game, the offering of a prize, or another activity on the child disclosing more personal information than is reasonably necessary to participate in such activity 312.7 and e establish and maintain reasonable procedures to protect the confidentiality, security, and integrity of personal information collected from children 312.8 ."
312.4,"a general principles of notice. it shall be the obligation of the operator to provide notice and obtain verifiable parental consent prior to collecting, using, or disclosing personal information from children. such notice must be clearly and understandably written, complete, and must contain no unrelated, confusing, or contradictory materials. b direct notice to the parent. an operator must make reasonable efforts, taking into account available technology, to ensure that a parent of a child receives direct notice of the operator s practices with regard to the collection, use, or disclosure of personal information from children, including notice of any material change in the collection, use, or disclosure practices to which the parent has previously consented. c content of the direct notice to the parent 1 content of the direct notice to the parent under 312.5 c 1 notice to obtain parent s affirmative consent to the collection, use, or disclosure of a child s personal information . this direct notice shall set forth i that the operator has collected the parent s online contact information from the child, and, if such is the case, the name of the child or the parent, in order to obtain the parent s consent ii that the parent s consent is required for the collection, use, or disclosure of such information, and that the operator will not collect, use, or disclose any personal information from the child if the parent does not provide such consent iii the additional items of personal information the operator intends to collect from the child, or the potential opportunities for the disclosure of personal information, should the parent provide consent iv a hyperlink to the operator s online notice of its information practices required under paragraph d of this section v the means by which the parent can provide verifiable consent to the collection, use, and disclosure of the information and vi that if the parent does not provide consent within a reasonable time from the date the direct notice was sent, the operator will delete the parent s online contact information from its records. 2 content of the direct notice to the parent under 312.5 c 2 voluntary notice to parent of a child s online activities not involving the collection, use or disclosure of personal information . where an operator chooses to notify a parent of a child s participation in a web site or online service, and where such site or service does not collect any personal information other than the parent s online contact information, the direct notice shall set forth i that the operator has collected the parent s online contact information from the child in order to provide notice to, and subsequently update the parent about, a child s participation in a web site or online service that does not otherwise collect, use, or disclose children s personal information ii that the parent s online contact information will not be used or disclosed for any other purpose iii that the parent may refuse to permit the child s participation in the web site or online service and may require the deletion of the parent s online contact information, and how the parent can do so and iv a hyperlink to the operator s online notice of its information practices required under paragraph d of this section. 3 content of the direct notice to the parent under 312.5 c 4 notice to a parent of operator s intent to communicate with the child multiple times . this direct notice shall set forth i that the operator has collected the child s online contact information from the child in order to provide multiple online communications to the child ii that the operator has collected the parent s online contact information from the child in order to notify the parent that the child has registered to receive multiple online communications from the operator iii that the online contact information collected from the child will not be used for any other purpose, disclosed, or combined with any other information collected from the child iv that the parent may refuse to permit further contact with the child and require the deletion of the parent s and child s online contact information, and how the parent can do so v that if the parent fails to respond to this direct notice, the operator may use the online contact information collected from the child for the purpose stated in the direct notice and vi a hyperlink to the operator s online notice of its information practices required under paragraph d of this section. 4 content of the direct notice to the parent required under 312.5 c 5 notice to a parent in order to protect a child s safety . this direct notice shall set forth i that the operator has collected the name and the online contact information of the child and the parent in order to protect the safety of a child ii that the information will not be used or disclosed for any purpose unrelated to the child s safety iii that the parent may refuse to permit the use, and require the deletion, of the information collected, and how the parent can do so iv that if the parent fails to respond to this direct notice, the operator may use the information for the purpose stated in the direct notice and v a hyperlink to the operator s online notice of its information practices required under paragraph d of this section. d notice on the web site or online service. in addition to the direct notice to the parent, an operator must post a prominent and clearly labeled link to an online notice of its information practices with regard to children on the home or landing page or screen of its web site or online service, and, at each area of the web site or online service where personal information is collected from children. the link must be in close proximity to the requests for information in each such area. an operator of a general audience web site or online service that has a separate children s area must post a link to a notice of its information practices with regard to children on the home or landing page or screen of the children s area. to be complete, the online notice of the web site or online service s information practices must state the following 1 the name, address, telephone number, and email address of all operators collecting or maintaining personal information from children through the web site or online service. provided that the operators of a web site or online service may list the name, address, phone number, and email address of one operator who will respond to all inquiries from parents concerning the operators privacy policies and use of children s information, as long as the names of all the operators collecting or maintaining personal information from children through the web site or online service are also listed in the notice 2 a description of what information the operator collects from children, including whether the web site or online service enables a child to make personal information publicly available how the operator uses such information and, the operator s disclosure practices for such information and 3 that the parent can review or have deleted the child s personal information, and refuse to permit further collection or use of the child s information, and state the procedures for doing so."
312.5,"a general requirements. 1 an operator is required to obtain verifiable parental consent before any collection, use, or disclosure of personal information from children, including consent to any material change in the collection, use, or disclosure practices to which the parent has previously consented. 2 an operator must give the parent the option to consent to the collection and use of the child s personal information without consenting to disclosure of his or her personal information to third parties. b methods for verifiable parental consent. 1 an operator must make reasonable efforts to obtain verifiable parental consent, taking into consideration available technology. any method to obtain verifiable parental consent must be reasonably calculated, in light of available technology, to ensure that the person providing consent is the child s parent. 2 existing methods to obtain verifiable parental consent that satisfy the requirements of this paragraph include i providing a consent form to be signed by the parent and returned to the operator by postal mail, facsimile, or electronic scan ii requiring a parent, in connection with a monetary transaction, to use a credit card, debit card, or other online payment system that provides notification of each discrete transaction to the primary account holder iii having a parent call a toll-free telephone number staffed by trained personnel iv having a parent connect to trained personnel via video-conference v verifying a parent s identity by checking a form of government-issued identification against databases of such information, where the parent s identification is deleted by the operator from its records promptly after such verification is complete or vi provided that, an operator that does not disclose as defined by 312.2 children s personal information, may use an email coupled with additional steps to provide assurances that the person providing the consent is the parent. such additional steps include sending a confirmatory email to the parent following receipt of consent, or obtaining a postal address or telephone number from the parent and confirming the parent s consent by letter or telephone call. an operator that uses this method must provide notice that the parent can revoke any consent given in response to the earlier email. 3 safe harbor approval of parental consent methods. a safe harbor program approved by the commission under 312.11 may approve its member operators use of a parental consent method not currently enumerated in paragraph b 2 of this section where the safe harbor program determines that such parental consent method meets the requirements of paragraph b 1 of this section. c exceptions to prior parental consent. verifiable parental consent is required prior to any collection, use, or disclosure of personal information from a child except as set forth in this paragraph 1 where the sole purpose of collecting the name or online contact information of the parent or child is to provide notice and obtain parental consent under 312.4 c 1 . if the operator has not obtained parental consent after a reasonable time from the date of the information collection, the operator must delete such information from its records 2 where the purpose of collecting a parent s online contact information is to provide voluntary notice to, and subsequently update the parent about, the child s participation in a web site or online service that does not otherwise collect, use, or disclose children s personal information. in such cases, the parent s online contact information may not be used or disclosed for any other purpose. in such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in 312.4 c 2 3 where the sole purpose of collecting online contact information from a child is to respond directly on a one-time basis to a specific request from the child, and where such information is not used to re-contact the child or for any other purpose, is not disclosed, and is deleted by the operator from its records promptly after responding to the child s request 4 where the purpose of collecting a child s and a parent s online contact information is to respond directly more than once to the child s specific request, and where such information is not used for any other purpose, disclosed, or combined with any other information collected from the child. in such cases, the operator must make reasonable efforts, taking into consideration available technology, to ensure that the parent receives notice as described in 312.4 c 3 . an operator will not be deemed to have made reasonable efforts to ensure that a parent receives notice where the notice to the parent was unable to be delivered 5 where the purpose of collecting a child s and a parent s name and online contact information, is to protect the safety of a child, and where such information is not used or disclosed for any purpose unrelated to the child s safety. in such cases, the operator must make reasonable efforts, taking into consideration available technology, to provide a parent with notice as described in 312.4 c 4 6 where the purpose of collecting a child s name and online contact information is to i protect the security or integrity of its web site or online service ii take precautions against liability iii respond to judicial process or iv to the extent permitted under other provisions of law, to provide information to law enforcement agencies or for an investigation on a matter related to public safety and where such information is not be used for any other purpose 7 where an operator collects a persistent identifier and no other personal information and such identifier is used for the sole purpose of providing support for the internal operations of the web site or online service. in such case, there also shall be no obligation to provide notice under 312.4 or 8 where an operator covered under paragraph 2 of the definition of web site or online service directed to children in 312.2 collects a persistent identifier and no other personal information from a user who affirmatively interacts with the operator and whose previous registration with that operator indicates that such user is not a child. in such case, there also shall be no obligation to provide notice under 312.4."
312.6,"a upon request of a parent whose child has provided personal information to a web site or online service, the operator of that web site or online service is required to provide to that parent the following 1 a description of the specific types or categories of personal information collected from children by the operator, such as name, address, telephone number, email address, hobbies, and extracurricular activities 2 the opportunity at any time to refuse to permit the operator s further use or future online collection of personal information from that child, and to direct the operator to delete the child s personal information and 3 notwithstanding any other provision of law, a means of reviewing any personal information collected from the child. the means employed by the operator to carry out this provision must i ensure that the requestor is a parent of that child, taking into account available technology and ii not be unduly burdensome to the parent. b neither an operator nor the operator s agent shall be held liable under any federal or state law for any disclosure made in good faith and following reasonable procedures in responding to a request for disclosure of personal information under this section. c subject to the limitations set forth in 312.7, an operator may terminate any service provided to a child whose parent has refused, under paragraph a 2 of this section, to permit the operator s further use or collection of personal information from his or her child or has directed the operator to delete the child s personal information."
312.7,"an operator is prohibited from conditioning a child s participation in a game, the offering of a prize, or another activity on the child s disclosing more personal information than is reasonably necessary to participate in such activity."
312.8,"the operator must establish and maintain reasonable procedures to protect the confidentiality, security, and integrity of personal information collected from children. the operator must also take reasonable steps to release children s personal information only to service providers and third parties who are capable of maintaining the confidentiality, security and integrity of such information, and who provide assurances that they will maintain the information in such a manner."
312.9,"subject to sections 6503 and 6505 of the children s online privacy protection act of 1998, a violation of a regulation prescribed under section 6502 a of this act shall be treated as a violation of a rule defining an unfair or deceptive act or practice prescribed under section 18 a 1 b of the federal trade commission act 15 u.s.c. 57a a 1 b ."
312.10,"an operator of a web site or online service shall retain personal information collected online from a child for only as long as is reasonably necessary to fulfill the purpose for which the information was collected. the operator must delete such information using reasonable measures to protect against unauthorized access to, or use of, the information in connection with its deletion."
