ID,TEXT
AIS-01,"applications and programming interfaces apis shall be designed, developed, deployed, and tested in accordance with leading industry standards e.g., owasp for web applications and adhere to applicable legal, statutory, or regulatory compliance obligations."
AIS-02,"prior to granting customers access to data, assets, and information systems, identified security, contractual, and regulatory requirements for customer access shall be addressed."
AIS-03,"data input and output integrity routines i.e., reconciliation and edit checks shall be implemented for application interfaces and databases to prevent manual or systematic processing errors, corruption of data, or misuse."
AIS-04,"policies and procedures shall be established and maintained in support of data security to include confidentiality, integrity, and availability across multiple system interfaces, jurisdictions, and business functions to prevent improper disclosure, alteration, or destruction."
AAC-01,audit plans shall be developed and maintained to address business process disruptions. auditing plans shall focus on reviewing the effectiveness of the implementation of security operations. all audit activities must be agreed upon prior to executing any audits.
AAC-02,"independent reviews and assessments shall be performed at least annually to ensure that the organization addresses nonconformities of established policies, standards, procedures, and compliance obligations."
AAC-03,"organizations shall create and maintain a control framework which captures standards, regulatory, legal, and statutory requirements relevant for their business needs. the control framework shall be reviewed at least annually to ensure changes that could affect the business processes are reflected."
BCR-01,"a consistent unified framework for business continuity planning and plan development shall be established, documented, and adopted to ensure all business continuity plans are consistent in addressing priorities for testing, maintenance, and information security requirements. requirements for business continuity plans include the following defined purpose and scope, aligned with relevant dependencies accessible to and understood by those who will use them owned by a named persons who is responsible for their review, update, and approval defined lines of communication, roles, and responsibilities detailed recovery procedures, manual work-around, and reference information method for plan invocation"
BCR-02,business continuity and security incident response plans shall be subject to testing at planned intervals or upon significant organizational or environmental changes. incident response plans shall involve impacted customers tenant and other business relationships that represent critical intra-supply chain business process dependencies.
BCR-03,"data center utilities services and environmental conditions e.g., water, power, temperature and humidity controls, telecommunications, and internet connectivity shall be secured, monitored, maintained, and tested for continual effectiveness at planned intervals to ensure protection from unauthorized interception or damage, and designed with automated fail-over or other redundancies in the event of planned or unplanned disruptions."
BCR-04,"information system documentation e.g., administrator and user guides, and architecture diagrams shall be made available to authorized personnel to ensure the following configuring, installing, and operating the information system effectively using the systems security features"
BCR-05,"physical protection against damage from natural causes and disasters, as well as deliberate attacks, including fire, flood, atmospheric electrical discharge, solar induced geomagnetic storm, wind, earthquake, tsunami, explosion, nuclear accident, volcanic activity, biological hazard, civil unrest, mudslide, tectonic activity, and other forms of natural or man-made disaster shall be anticipated, designed, and have countermeasures applied."
BCR-06,"to reduce the risks from environmental threats, hazards, and opportunities for unauthorized access, equipment shall be kept away from locations subject to high probability environmental risks and supplemented by redundant equipment located at a reasonable distance."
BCR-07,"policies and procedures shall be established, and supporting business processes and technical measures implemented, for equipment maintenance ensuring continuity and availability of operations and support personnel."
BCR-08,protection measures shall be put into place to react to natural and man-made threats based upon a geographically-specific business impact assessment.
BCR-09,"there shall be a defined and documented method for determining the impact of any disruption to the organization cloud provider, cloud consumer that must incorporate the following identify critical products and services identify all dependencies, including processes, applications, business partners, and third party service providers understand threats to critical products and services determine impacts resulting from planned or unplanned disruptions and how these vary over time establish the maximum tolerable period for disruption establish priorities for recovery establish recovery time objectives for resumption of critical products and services within their maximum tolerable period of disruption estimate the resources required for resumption"
BCR-10,"policies and procedures shall be established, and supporting business processes and technical measures implemented, for appropriate it governance and service management to ensure appropriate planning, delivery, and support of the organizations it capabilities supporting business functions, workforce, andor customers based on industry acceptable standards i.e., itil v and cobit . additionally, policies and procedures shall include defined roles and responsibilities supported by regular workforce training."
BCR-11,"policies and procedures shall be established, and supporting business processes and technical measures implemented, for defining and adhering to the retention period of any critical asset as per established policies and procedures, as well as applicable legal, statutory, or regulatory compliance obligations. backup and recovery measures shall be incorporated as part of business continuity planning and tested accordingly for effectiveness."
