ID,TEXT
4.1.1,"accountability for the organization s compliance with the principles rests with the designated individuals , even though other individuals within the organization may be responsible for the day-to-day collection and processing of personal information. in addition, other individuals within the organization may be delegated to act on behalf of the designated individuals ."
4.1.2,the identity of the individual s designated by the organization to oversee the organization s compliance with the principles shall be made known upon request.
4.1.3,"an organization is responsible for personal information in its possession or custody, including information that has been transferred to a third party for processing. the organization shall use contractual or other means to provide a comparable level of protection while the information is being processed by a third party."
4.1.4,"organizations shall implement policies and practices to give effect to the principles, including a implementing procedures to protect personal information b establishing procedures to receive and respond to complaints and inquiries c training staff and communicating to staff information about the organization s policies and practices and d developing information to explain the organization s policies and procedures."
4.2.1,the organization shall document the purposes for which personal information is collected in order to comply with the openness principle clause 4.8 and the individual access principle clause 4.9 .
4.2.2,identifying the purposes for which personal information is collected at or before the time of collection allows organizations to determine the information they need to collect to fulfil these purposes. the limiting collection principle clause 4.4 requires an organization to collect only that information necessary for the purposes that have been identified.
4.2.3,"the identified purposes should be specified at or before the time of collection to the individual from whom the personal information is collected. depending upon the way in which the information is collected, this can be done orally or in writing. an application form, for example, may give notice of the purposes."
4.2.4,"when personal information that has been collected is to be used for a purpose not previously identified, the new purpose shall be identified prior to use. unless the new purpose is required by law, the consent of the individual is required before information can be used for that purpose. for an elaboration on consent, please refer to the consent principle clause 4.3 ."
4.2.5,persons collecting personal information should be able to explain to individuals the purposes for which the information is being collected.
4.2.6,"this principle is linked closely to the limiting collection principle clause 4.4 and the limiting use, disclosure, and retention principle clause 4.5 ."
4.3.1,"consent is required for the collection of personal information and the subsequent use or disclosure of this information. typically, an organization will seek consent for the use or disclosure of the information at the time of collection. in certain circumstances, consent with respect to use or disclosure may be sought after the information has been collected but before use for example, when an organization wants to use information for a purpose not previously identified ."
4.3.2,"the principle requires knowledge and consent . organizations shall make a reasonable effort to ensure that the individual is advised of the purposes for which the information will be used. to make the consent meaningful, the purposes must be stated in such a manner that the individual can reasonably understand how the information will be used or disclosed."
4.3.3,"an organization shall not, as a condition of the supply of a product or service, require an individual to consent to the collection, use, or disclosure of information beyond that required to fulfil the explicitly specified, and legitimate purposes."
4.3.4,"the form of the consent sought by the organization may vary, depending upon the circumstances and the type of information. in determining the form of consent to use, organizations shall take into account the sensitivity of the information. although some information for example, medical records and income records is almost always considered to be sensitive, any information can be sensitive, depending on the context. for example, the names and addresses of subscribers to a newsmagazine would generally not be considered sensitive information. however, the names and addresses of subscribers to some special-interest magazines might be considered sensitive."
4.3.5,"in obtaining consent, the reasonable expectations of the individual are also relevant. for example, an individual buying a subscription to a magazine should reasonably expect that the organization, in addition to using the individual s name and address for mailing and billing purposes, would also contact the person to solicit the renewal of the subscription. in this case, the organization can assume that the individual s request constitutes consent for specific purposes. on the other hand, an individual would not reasonably expect that personal information given to a health-care professional would be given to a company selling health-care products, unless consent were obtained. consent shall not be obtained through deception."
4.3.6,"the way in which an organization seeks consent may vary, depending on the circumstances and the type of information collected. an organization should generally seek express consent when the information is likely to be considered sensitive. implied consent would generally be appropriate when the information is less sensitive. consent can also be given by an authorized representative such as a legal guardian or a person having power of attorney ."
4.3.7,"individuals can give consent in many ways. for example a an application form may be used to seek consent, collect information, and inform the individual of the use that will be made of the information. by completing and signing the form, the individual is giving consent to the collection and the specified uses b a checkoff box may be used to allow individuals to request that their names and addresses not be given to other organizations. individuals who do not check the box are assumed to consent to the transfer of this information to third parties c consent may be given orally when information is collected over the telephone or d consent may be given at the time that individuals use a product or service."
4.3.8,"an individual may withdraw consent at any time, subject to legal or contractual restrictions and reasonable notice. the organization shall inform the individual of the implications of such withdrawal."
4.4.1,"organizations shall not collect personal information indiscriminately. both the amount and the type of information collected shall be limited to that which is necessary to fulfil the purposes identified. organizations shall specify the type of information collected as part of their information-handling policies and practices, in accordance with the openness principle clause 4.8 ."
4.4.2,the requirement that personal information be collected by fair and lawful means is intended to prevent organizations from collecting information by misleading or deceiving individuals about the purpose for which information is being collected. this requirement implies that consent with respect to collection must not be obtained through deception.
4.4.3,this principle is linked closely to the identifying purposes principle clause 4.2 and the consent principle clause 4.3 .
4.5.1,organizations using personal information for a new purpose shall document this purpose see clause 4.2.1 .
4.5.2,organizations should develop guidelines and implement procedures with respect to the retention of personal information. these guidelines should include minimum and maximum retention periods. personal information that has been used to make a decision about an individual shall be retained long enough to allow the individual access to the information after the decision has been made. an organization may be subject to legislative requirements with respect to retention periods.
4.5.3,"personal information that is no longer required to fulfil the identified purposes should be destroyed, erased, or made anonymous. organizations shall develop guidelines and implement procedures to govern the destruction of personal information."
4.5.4,"this principle is closely linked to the consent principle clause 4.3 , the identifying purposes principle clause 4.2 , and the individual access principle clause 4.9 ."
4.6.1,"the extent to which personal information shall be accurate, complete, and up-to-date will depend upon the use of the information, taking into account the interests of the individual. information shall be sufficiently accurate, complete, and up-to-date to minimize the possibility that inappropriate information may be used to make a decision about the individual."
4.6.2,"an organization shall not routinely update personal information, unless such a process is necessary to fulfil the purposes for which the information was collected."
4.6.3,"personal information that is used on an ongoing basis, including information that is disclosed to third parties, should generally be accurate and up-to-date, unless limits to the requirement for accuracy are clearly set out."
4.7.1,"the security safeguards shall protect personal information against loss or theft, as well as unauthorized access, disclosure, copying, use, or modification. organizations shall protect personal information regardless of the format in which it is held."
