ID,TEXT
4,"1. each member state shall apply the national provisions it adopts pursuant to this directive to the processing of personal data where a the processing is carried out in the context of the activities of an establishment of the controller on the territory of the member state when the same controller is established on the territory of several member states, he must take the necessary measures to ensure that each of these establishments complies with the obligations laid down by the national law applicable b the controller is not established on the member state s territory, but in a place where its national law applies by virtue of international public law c the controller is not established on community territory and, for purposes of processing personal data makes use of equipment, automated or otherwise, situated on the territory of the said member state, unless such equipment is used only for purposes of transit through the territory of the community. 2. in the circumstances referred to in paragraph 1 c , the controller must designate a representative established in the territory of that member state, without prejudice to legal actions which could be initiated against the controller himself."
4(1),"each member state shall apply the national provisions it adopts pursuant to this directive to the processing of personal data where a the processing is carried out in the context of the activities of an establishment of the controller on the territory of the member state when the same controller is established on the territory of several member states, he must take the necessary measures to ensure that each of these establishments complies with the obligations laid down by the national law applicable b the controller is not established on the member state s territory, but in a place where its national law applies by virtue of international public law c the controller is not established on community territory and, for purposes of processing personal data makes use of equipment, automated or otherwise, situated on the territory of the said member state, unless such equipment is used only for purposes of transit through the territory of the community. 2. in the circumstances referred to in paragraph 1 c , the controller must designate a representative established in the territory of that member state, without prejudice to legal actions which could be initiated against the controller himself."
4(2),"in the circumstances referred to in paragraph 1 c , the controller must designate a representative established in the territory of that member state, without prejudice to legal actions which could be initiated against the controller himself."
5,"member states shall, within the limits of the provisions of this chapter, determine more precisely the conditions under which the processing of personal data is lawful."
6,"member states shall provide that personal data must be processed fairly and lawfully collected for specified, explicit and legitimate purposes and not further processed in a way incompatible with those purposes. further processing of data for historical, statistical or scientific purposes shall not be considered as incompatible provided that member states provide appropriate safeguards adequate, relevant and not excessive in relation to the purposes for which they are collected and or further processed accurate and, where necessary, kept up to date every reasonable step must be taken to ensure that data which are inaccurate or incomplete, having regard to the purposes for which they were collected or for which they are further processed, are erased or rectified kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the data were collected or for which they are further processed. member states shall lay down appropriate safeguards for personal data stored for longer periods for historical, statistical or scientific use. it shall be for the controller to ensure that paragraph 1 is complied with."
6(1),"member states shall provide that personal data must be processed fairly and lawfully collected for specified, explicit and legitimate purposes and not further processed in a way incompatible with those purposes. further processing of data for historical, statistical or scientific purposes shall not be considered as incompatible provided that member states provide appropriate safeguards adequate, relevant and not excessive in relation to the purposes for which they are collected and or further processed accurate and, where necessary, kept up to date every reasonable step must be taken to ensure that data which are inaccurate or incomplete, having regard to the purposes for which they were collected or for which they are further processed, are erased or rectified kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the data were collected or for which they are further processed. member states shall lay down appropriate safeguards for personal data stored for longer periods for historical, statistical or scientific use."
6(1)a,member states shall provide that personal data must be processed fairly and lawfully
6(1)b,"member states shall provide that personal data must be collected for specified, explicit and legitimate purposes and not further processed in a way incompatible with those purposes. further processing of data for historical, statistical or scientific purposes shall not be considered as incompatible provided that member states provide appropriate safeguards"
6(1)c,"member states shall provide that personal data must be adequate, relevant and not excessive in relation to the purposes for which they are collected and or further processed"
6(1)d,"member states shall provide that personal data must be accurate and, where necessary, kept up to date every reasonable step must be taken to ensure that data which are inaccurate or incomplete, having regard to the purposes for which they were collected or for which they are further processed, are erased or rectified"
6(1)e,"member states shall provide that personal data must be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the data were collected or for which they are further processed. member states shall lay down appropriate safeguards for personal data stored for longer periods for historical, statistical or scientific use."
6(2),it shall be for the controller to ensure that paragraph 1 is complied with.
7,"member states shall provide that personal data may be processed only if a the data subject has unambiguously given his consent or b processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract or c processing is necessary for compliance with a legal obligation to which the controller is subject or d processing is necessary in order to protect the vital interests of the data subject or e processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller or in a third party to whom the data are disclosed or f processing is necessary for the purposes of the legitimate interests pursued by the controller or by the third party or parties to whom the data are disclosed, except where such interests are overridden by the interests for fundamental rights and freedoms of the data subject which require protection under article 1 1 ."
8,"1. member states shall prohibit the processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade-union membership, and the processing of data concerning health or sex life. 2. paragraph 1 shall not apply where a the data subject has given his explicit consent to the processing of those data, except where the laws of the member state provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject s giving his consent or b processing is necessary for the purposes of carrying out the obligations and specific rights of the controller in the field of employment law in so far as it is authorized by national law providing for adequate safeguards or c processing is necessary to protect the vital interests of the data subject or of another person where the data subject is physically or legally incapable of giving his consent or d processing is carried out in the course of its legitimate activities with appropriate guarantees by a foundation, association or any other non-profit-seeking body with a political, philosophical, religious or trade-union aim and on condition that the processing relates solely to the members of the body or to persons who have regular contact with it in connection with its purposes and that the data are not disclosed to a third party without the consent of the data subjects or e the processing relates to data which are manifestly made public by the data subject or is necessary for the establishment, exercise or defence of legal claims. 3. paragraph 1 shall not apply where processing of the data is required for the purposes of preventive medicine, medical diagnosis, the provision of care or treatment or the management of health-care services, and where those data are processed by a health professional subject under national law or rules established by national competent bodies to the obligation of professional secrecy or by another person also subject to an equivalent obligation of secrecy. 4. subject to the provision of suitable safeguards, member states may, for reasons of substantial public interest, lay down exemptions in addition to those laid down in paragraph 2 either by national law or by decision of the supervisory authority. 5. processing of data relating to offences, criminal convictions or security measures may be carried out only under the control of official authority, or if suitable specific safeguards are provided under national law, subject to derogations which may be granted by the member state under national provisions providing suitable specific safeguards. however, a complete register of criminal convictions may be kept only under the control of official authority. member states may provide that data relating to administrative sanctions or judgements in civil cases shall also be processed under the control of official authority. 6. derogations from paragraph 1 provided for in paragraphs 4 and 5 shall be notified to the commission. 7. member states shall determine the conditions under which a national identification number or any other identifier of general application may be processed."
9,"member states shall provide for exemptions or derogations from the provisions of this chapter, chapter iv and chapter vi for the processing of personal data carried out solely for journalistic purposes or the purpose of artistic or literary expression only if they are necessary to reconcile the right to privacy with the rules governing freedom of expression."
10,"member states shall provide that the controller or his representative must provide a data subject from whom data relating to himself are collected with at least the following information, except where he already has it a the identity of the controller and of his representative, if any b the purposes of the processing for which the data are intended c any further information such as - the recipients or categories of recipients of the data, - whether replies to the questions are obligatory or voluntary, as well as the possible consequences of failure to reply, - the existence of the right of access to and the right to rectify the data concerning him in so far as such further information is necessary, having regard to the specific circumstances in which the data are collected, to guarantee fair processing in respect of the data subject."
11,"1. where the data have not been obtained from the data subject, member states shall provide that the controller or his representative must at the time of undertaking the recording of personal data or if a disclosure to a third party is envisaged, no later than the time when the data are first disclosed provide the data subject with at least the following information, except where he already has it a the identity of the controller and of his representative, if any b the purposes of the processing c any further information such as - the categories of data concerned, - the recipients or categories of recipients, - the existence of the right of access to and the right to rectify the data concerning him in so far as such further information is necessary, having regard to the specific circumstances in which the data are processed, to guarantee fair processing in respect of the data subject. 2. paragraph 1 shall not apply where, in particular for processing for statistical purposes or for the purposes of historical or scientific research, the provision of such information proves impossible or would involve a disproportionate effort or if recording or disclosure is expressly laid down by law. in these cases member states shall provide appropriate safeguards."
12,"member states shall guarantee every data subject the right to obtain from the controller a without constraint at reasonable intervals and without excessive delay or expense - confirmation as to whether or not data relating to him are being processed and information at least as to the purposes of the processing, the categories of data concerned, and the recipients or categories of recipients to whom the data are disclosed, - communication to him in an intelligible form of the data undergoing processing and of any available information as to their source, - knowledge of the logic involved in any automatic processing of data concerning him at least in the case of the automated decisions referred to in article 15 1 b as appropriate the rectification, erasure or blocking of data the processing of which does not comply with the provisions of this directive, in particular because of the incomplete or inaccurate nature of the data c notification to third parties to whom the data have been disclosed of any rectification, erasure or blocking carried out in compliance with b , unless this proves impossible or involves a disproportionate effort."
