ID,TEXT
1,"this law is of general public order and observance throughout the republic and is intended to protect personal data in possession of the individuals, in order to regulate their legitimate, controlled and informed treatment, in order to guarantee the privacy and the right to the information self-determination of the persons."
2,"they are subject to this law, private individuals or private individuals who carry out the processing of data personal, with the exception of i. the credit reporting companies in the assumptions of the law for regular credit information societies and other applicable provisions, and ii. people who carry out the collection and storage of personal data, that is for exclusively personal use, and for non-disclosure or commercial use."
3,"for the purposes of this act, it is understood by i. privacy notice physical, electronic or any other format generated by the responsible person who is made available to the holder, prior to the processing of his personal data, in accordance with article 15 of this law. ii. databases the ordered set of personal data concerning a person identified or identifiable. iii. locking the identification and preservation of personal data after the the purpose for which they were sought, for the sole purpose of determining possible liability in relation to their treatment, up to the legal or contractual limitation period. during that period, the personal data may not be processed and the data shall be cancelled in the corresponding database. iv. consent manifestation of the will of the data holder by means of which the treatment of the same is performed. v. personal data any information concerning an identified physical person or identifiable. vi. sensitive personal data personal data that affects the sphere more the person s intimate use, or the misuse of which may give rise to discrimination or a serious risk to discrimination. in particular, those who can reveal aspects such as racial or ethnic origin, present and future health status, genetic information, religious, philosophical and moral beliefs, union membership, political opinions, are considered sensitive. sexual preference. vii. days business days. viii. dissociation the procedure by which personal data cannot be associated the holder or permit, by its structure, content or degree of disaggregation, the identification of the same. ix. charged the natural or legal person who alone or jointly with others treats data personal on behalf of the person responsible. x. public access source those databases whose query can be performed by any person, without further requirement than, if applicable, the payment of a consideration, in accordance with the provisions of the rules of procedure of this law. xi. institute federal institute for access to information and data protection, which refers to the federal law on transparency and access to government public information. xii. law federal law on the protection of personal data in possession of the particular. xiii. regulation the regulation of the federal law on the protection of personal data in possession of the particulars. xiv. responsible private physical or moral person who decides on the processing of personal data. xv. secretariat ministry of economy. xvi. third the natural or moral person, national or foreign, other than the holder or the person responsible for the data. xvii. holder the natural person to whom the personal data correspond. xviii. treatment obtaining, using, disclosing or storing personal data, by any means. use encompasses any access, management, use, transfer, or disposition of personal data. xix. transfer any communication of data made to a person other than the controller or processor."
3(I),"privacy notice physical, electronic or any other format generated by the responsible person who is made available to the holder, prior to the processing of his personal data, in accordance with article 15 of this law."
3(II),databases the ordered set of personal data concerning a person identified or identifiable.
3(III),"locking the identification and preservation of personal data after the the purpose for which they were sought, for the sole purpose of determining possible liability in relation to their treatment, up to the legal or contractual limitation period. during that period, the personal data may not be processed and the data shall be cancelled in the corresponding database."
3(IV),consent manifestation of the will of the data holder by means of which the treatment of the same is performed.
3(V),personal data any information concerning an identified physical person or identifiable.
3(VI),"sensitive personal data personal data that affects the sphere more the person s intimate use, or the misuse of which may give rise to discrimination or a serious risk to discrimination. in particular, those who can reveal aspects such as racial or ethnic origin, present and future health status, genetic information, religious, philosophical and moral beliefs, union membership, political opinions, are considered sensitive. sexual preference."
3(VII),days business days.
3(VIII),"dissociation the procedure by which personal data cannot be associated the holder or permit, by its structure, content or degree of disaggregation, the identification of the same."
3(IX),charged the natural or legal person who alone or jointly with others treats data personal on behalf of the person responsible.
3(X),"public access source those databases whose query can be performed by any person, without further requirement than, if applicable, the payment of a consideration, in accordance with the provisions of the rules of procedure of this law."
3(XI),"institute federal institute for access to information and data protection, which refers to the federal law on transparency and access to government public information."
3(XII),law federal law on the protection of personal data in possession of the particular.
3(XIII),regulation the regulation of the federal law on the protection of personal data in possession of the particulars.
3(XIV),responsible private physical or moral person who decides on the processing of personal data.
3(XV),secretariat ministry of economy.
3(XVI),"third the natural or moral person, national or foreign, other than the holder or the person responsible for the data."
3(XVII),holder the natural person to whom the personal data correspond.
3(XVIII),"treatment obtaining, using, disclosing or storing personal data, by any means. use encompasses any access, management, use, transfer, or disposition of personal data."
3(XIX),transfer any communication of data made to a person other than the controller or processor.
4,"the principles and rights provided for in this law shall be limited in respect to their observance and exercise, the protection of national security, order, security and public health, as well as the rights of third parties."
5,"in the absence of any express provision in this law, the provisions of the federal code of civil procedures and the law will be applied in an extra way. federal administrative procedure. for the substantiation of the procedures for the protection of rights, verification and imposition of sanctions, the provisions contained in the law will be observed. federal administrative procedure."
6,"those responsible for the processing of personal data shall observe the principles of lawfulness, consent, information, quality, purpose, loyalty, proportionality and liability as provided for in the act."
7,"personal data shall be collected and processed in a lawful manner in accordance with the provisions laid down in this law and other regulations applicable. getting personal data should not be done through deceptive or fraudulent means. in all processing of personal data, it is presumed that there is a reasonable expectation of privacy, understood as the confidence that any person deposits in another, the personal data provided between them will be processed in accordance with what the parties agreed to in the terms established by this law."
8,"any processing of personal data shall be subject to the consent of its holder, except for the exceptions provided for in this law. the consent shall be expressed when the will is expressed verbally, in writing, by electronic, optical or any other technology, or by signs no. it is understood that the holder tacitly consents to the processing of his data, when the privacy notice has been made available to him, does not manifest his opposition. financial or economic data shall require the express consent of the holder, except for the exceptions referred to in articles 10 and 37 of this regulation. law. consent may be revoked at any time without any retroactive effect. in order to revoke the consent, the person responsible must, in the privacy notice, establish the mechanisms and procedures for this."
9,"dealing with sensitive personal data, the person responsible shall obtain the express and written consent of the holder for hisher treatment, through of your autograph signature, electronic signature, or any authentication mechanism that you set up. no databases containing sensitive personal data may be created without justification for the creation of such data for legitimate, concrete and appropriate purposes. with the explicit activities or purposes pursued by the regulated subject."
10,"no consent will be required for the processing of personal data when i. this is provided in an act ii. the data is displayed in public access sources iii. personal data is subject to a prior dissociation procedure iv. the purpose of fulfilling obligations arising from a legal relationship between the holder and the person responsible v. exists an emergency situation that could potentially harm an individual in hisher person or their property vi. be indispensable for medical care, prevention, diagnosis, delivery health care, medical treatment or the management of health services, while the holder is not in a position to grant consent, in the terms established by the general health law and other applicable legal provisions and that such data processing is carried out by a person subject to professional secrecy or equivalent obligation, or vii. competent authority resolution is issued."
11,"the person responsible shall ensure that the personal data contained in the databases are relevant, correct and up to date for the purposes of the data. which were collected. when personal data has ceased to be necessary for the purposes of the purposes provided for by the privacy notice and the legal provisions applicable, must be cancelled. the person responsible for the database will be obliged to remove the information regarding non-compliance with contractual obligations once a period of time has elapsed. seventy-two months from the date of the calendar date on which the said non-compliance is made."
12,"the processing of personal data shall be limited to the fulfillment of the purposes provided for in the privacy notice. if the controller intends to treat the data for a different purpose that is not compatible or analogous to the purposes set out in the privacy notice, the consent of the holder shall be obtained again."
13,"the processing of personal data will be the necessary, appropriate and relevant in relation to the intended purposes of the privacy. in particular for sensitive personal data, the person responsible shall make reasonable efforts to limit the period of treatment of such personal data to the minimum essential."
14,"the person responsible shall ensure compliance with the principles of protection of personal data established by this law, necessary for its application. the above will apply even if this data is dealt with by a third party at the request of the person responsible. the person responsible shall take the necessary and sufficient measures to ensure that the privacy notice issued to the holder is respected at any time by him or by third parties with whom he or she has any legal relationship."
15,"the person responsible will have the obligation to inform the data holders, the information that is collected from them and for what purpose, through the of privacy."
16,"the privacy notice must contain at least the following information i. the identity and address of the person who was running them ii. the purposes of data processing iii. the options and means that the controller gives to the holders to limit the use or disclosure of the data iv. the means to exercise the rights of access, rectification, cancellation or opposition, in accordance with the provisions of this law v. where applicable, the data transfers that are made, and vi. the procedure and means by which the person responsible shall communicate to the holders of changes to the privacy notice, as provided for in this act. in the case of sensitive personal data, the privacy notice should expressly state that this is a data type."
16(I),the privacy notice must contain at least the following information i. the identity and address of the person who was running them
16(II),the privacy notice must contain at least the following information the purposes of data processing
16(III),the privacy notice must contain at least the following information the options and means that the controller gives to the holders to limit the use or disclosure of the data
16(IV),"the privacy notice must contain at least the following information the means to exercise the rights of access, rectification, cancellation or opposition, in accordance with the provisions of this law"
16(V),"the privacy notice must contain at least the following information where applicable, the data transfers that are made, and"
16(VI),"the privacy notice must contain at least the following information the procedure and means by which the person responsible shall communicate to the holders of changes to the privacy notice, as provided for in this act.in the case of sensitive personal data, the privacy notice should expressly state that this is a data type."
17,"the privacy notice must be made available to the holders through printed, digital, visual, sound, or any other formats technology, as follows i. when the personal data has been personally obtained from the holder, the notice of privacy shall be provided at the time when the data was collected clearly and reliably, through the formats by which it was collected, unless the notice had been provided in advance, and ii. when personal data is obtained directly from the holder by any electronic, optical, sound, visual, or through any other technology, the person responsible shall provide the holder immediately, at least the information referred to in fractions i and ii of the previous article, as well as provide the mechanisms for the holder to know the full text of the notice of privacy."
18,"when the data has not been obtained directly from the holder, the person responsible must make the change to the privacy notice known. it is not applicable as set out in the preceding paragraph, when the treatment is for historical, statistical or scientific purposes. when it is impossible to disclose the privacy notice to the holder or demand disproportionate efforts, in consideration of the number of holders, or the age of the data, subject to the approval of the institute, the person responsible may implement compensatory measures in terms of the regulation of this law."
19,"any person responsible for processing personal data shall establish and maintain administrative, technical and physical security measures. to protect personal data against damage, loss, alteration, destruction or unauthorized use, access or treatment. those responsible will not adopt security measures that are less than those they maintain for the handling of their information. it will also take into account the existing risk, the possible consequences for the operators, the sensitivity of the data and the technological development."
20,"security violations occurring at any stage of treatment that significantly affect the economic or moral rights of the the holders shall be informed immediately by the operator of the holder, in order to enable the holder to take the measures corresponding to the defence of his rights."
21,"the person or third party who is involved in any phase of the processing of personal data shall be required to keep confidentiality in respect of such data, an obligation which will remain after the end of its relations with the holder or, where appropriate, with the person responsible."
22,"any holder, or his legal representative, may exercise the rights of access, rectification, cancellation and opposition provided for in the law. the exercise of any of them is not a prerequisite or prevents the exercise of another. personal data must be stored in such a way as to permit the exercise without delay of these rights."
23,"the holders have the right to access their personal data held by the person responsible, as well as to know the privacy notice to which they are subject to treatment."
24,the data holder will have the right to rectify them when they are inaccurate or incomplete.
25,"the holder will have at all times the right to cancel his or her personal data. the cancellation of personal data will result in a period of blocking after which the data will be deleted. the person responsible may retain them exclusively for the purposes of the responsibilities arising from the treatment. the blocking period shall be equivalent to the limitation period for actions arising from the legal relationship which covers treatment under the terms of the applicable law. once the data is cancelled, the data will be given notice to the holder. when personal data has been transmitted prior to the date of rectification or cancellation and continues to be processed by third parties, the person responsible must make your knowledge such request for rectification or cancellation, so that it may be carried out as well."
26,"the person responsible will not be required to cancel personal data when i. refuses to the parties to a private, social or administrative contract necessary for their development and compliance ii. they should be dealt with by law iii. hinder judicial or administrative actions related to obligations tax, investigation and prosecution of crimes or the updating of administrative sanctions iv. sean necessary to protect the legally protected interests of the holder v. be required to perform an action based on the public interest vi. sean necessary to comply with an obligation legally acquired by the holder, and vii. be the subject of treatment for prevention or for medical diagnosis or management of health services, provided that such treatment is carried out by a health professional subject to a duty of secrecy."
27,"the holder shall be entitled at all times and for legitimate reasons to oppose the processing of his data. if appropriate, the person responsible shall not be able to deal with the data relating to the holder."
28,"the holder or his legal representative may ask the person responsible at any time for access, rectification, cancellation or opposition, in respect of personal data that concerns you."
29,"the request for access, rectification, cancellation or opposition must contain and accompany the following i. the name of the owner and address or other means of communicating the response to his or her request ii. documents certifying the identity or, where applicable, the legal representation of the holder iii. the clear and precise description of the personal data for which you are searching exercise any of the above rights, and iv. any other item or document that facilitates the location of the data personal."
30,"all responsible must designate a person, or personal data department, who will process the application of the headlines, for the exercise of the rights referred to in this law. it will also encourage the protection of personal data within the organisation."
31,"in the case of requests for the rectification of personal data, the holder shall indicate, in addition to the provisions of the previous article of this law, modifications to be made and to provide the documentation supporting your request."
32,"the person responsible shall communicate to the holder, within a maximum of 20 days, counted from the date on which the request for access was received, rectification, cancellation or opposition, the determination adopted, to the effect that, if appropriate, it becomes effective within 15 days of the date on which the reply is communicated. in the case of requests for access to personal data, delivery shall be carried out upon accreditation of the identity of the applicant or legal representative, as appropriate. deadlines referred to may be extended once for an equal period, as long as the circumstances of the case warrant."
33,"the obligation of access to the information shall be fulfilled when personal data are made available to the holder or, by means of the dispatch of simple copies, electronic documents or any other means determined by the person responsible in the privacy notice. in the event that the holder requests access to the data to a person who is presumed to be responsible and it is not possible to be responsible, it will be sufficient for the holder to be told to the owner. by any of the means referred to in the preceding paragraph, in order to comply with the application."
34,"the person responsible may refuse access to the personal data, or to make the rectification or cancellation or to grant the opposition to the treatment of the , in the following assumptions i. when the applicant is not the holder of the personal data, or the representative legal is not properly accredited to do so ii. when in your database, the applicant s personal data is not found iii. when the rights of a third party are injured iv. where there is a legal impediment, or the resolution of a competent authority, that restrict access to personal data, or do not allow the rectification, cancellation or opposition thereof, and v. when the rectification, cancellation or opposition has been previously performed. the refusal referred to in this article may be partial in which case the person responsible shall carry out the access, rectification, cancellation or opposition required by the holder. in all the cases above, the person responsible must inform the reason of his decision and inform the owner, or, where appropriate, the legal representative, within the time limits. established for that purpose, by the same means by which the application was made, accompanied, where appropriate, by the relevant evidence."
35,"the delivery of the personal data shall be free of charge, with the holder only covering the justified costs of shipping or the cost of reproduction in copies or other formats. this right shall be exercised by the holder free of charge, upon accreditation of his or her identity to the person responsible. however, if the same person reiterates his or her application within a period of less than twelve months, the costs will not be greater than three days of the general minimum wage in the federal district, unless substantial modifications are made to the notice of privacy to motivate new queries. the holder may submit a request for data protection for the response received or a lack of response from the controller, in accordance with the provisions of the next chapter."
36,"when the person responsible intends to transfer the personal data to third parties or foreign nationals, other than the person in charge, heshe must inform the notice of privacy and the purposes to which the holder subject his or her treatment. the processing of the data shall be done in accordance with the terms of the privacy notice, which shall contain a clause indicating whether or not the holder accepts the data. transfer of your data, in the same way, the third recipient, will assume the same obligations that correspond to the person responsible who transferred the data."
37,"national or international data transfers may be carried out without the consent of the holder when any of the following assumptions i. when the transfer is provided for in a law or treaty in which mexico is part ii. when the transfer is necessary for medical diagnosis or prevention, the provision of health care, medical treatment or the management of health services iii. when the transfer is made to controlling companies, subsidiaries or affiliated under the common control of the controller, or to a parent company or any company in the same group of the controller operating under the same internal processes and policies iv. when the transfer is required by virtue of a contract entered into or by hold in the interest of the holder, the person responsible and a third party v. when the transfer is required or legally required for the safeguarding of a public interest, or for the prosecution or administration of justice vi. when the transfer is accurate for the recognition, exercise or defense of a right in a judicial process, and vii. when the transfer is accurate for the maintenance or compliance of a legal relationship between the person responsible and the holder."
38,"the institute, for the purposes of this law, shall be aimed at disseminating knowledge of the right to the protection of personal data in society. a to promote its exercise and to monitor for due observance of the provisions laid down in this law and to derive from it in particular those related to the fulfilment of obligations by the regulated subjects this order."
