ID,TEXT
AC-1,"the organization a. develops, documents, and disseminates to assignment organization-defined personnel or roles . an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance and . procedures to facilitate the implementation of the access control policy and associated access controls and b. reviews and updates the current . access control policy assignment organization-defined frequency and . access control procedures assignment organization-defined frequency."
AC-2,"the organization a. identifies and selects the following types of information system accounts to support organizational missionsbusiness functions assignment organization-defined information system account types b. assigns account managers for information system accounts c. establishes conditions for group and role membership d. specifies authorized users of the information system, group and role membership, and access authorizations i.e., privileges and other attributes as required for each account e. requires approvals by assignment organization-defined personnel or roles for requests to create information system accounts f. creates, enables, modifies, disables, and removes information system accounts in accordance with assignment organization-defined procedures or conditions g. monitors the use of, information system accounts h. notifies account managers . when accounts are no longer required . when users are terminated or transferred and . when individual information system usage or need-to-know changes i. authorizes access to the information system based on . a valid access authorization . intended system usage and . other attributes as required by the organization or associated missionsbusiness functions j. reviews accounts for compliance with account management requirements assignment organization-defined frequency and k. establishes a process for reissuing sharedgroup account credentials if deployed when individuals are removed from the group.supplemental guidance information system account types include individual, shared, group, system, guestanonymous, emergency, developermanufacturervendor, temporary, and service. some of the account management requirements listed above can be implemented by organizational information systems. the identification of authorized users of the information system and the specification of access privileges reflects the requirements in other security controls in the security plan. users requiring administrative privileges on information system accounts receive additional scrutiny by appropriate organizational personnel e.g., system owner, missionbusiness owner, or chief information security officer responsible for approving such accounts and privileged access. organizations may choose to define access privileges or other attributes by account, by type of account, or a combination of both. other attributes required for authorizing access include, for example, restrictions on time-of-day, day-of-week, and point-of-origin. in defining other account attributes, organizations consider system-related requirements e.g., scheduled maintenance, system upgrades and missionbusiness requirements, e.g., time zone differences, customer requirements, remote access to support travel requirements. failure to consider these factors could affect information system availability. temporary and emergency accounts are accounts intended for short-term use. organizations establish temporary accounts as a part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. therefore, emergency account activation may bypass normal account authorization processes. emergency and temporary accounts are not to be confused with infrequently used accounts e.g., local logon accounts used for special tasks defined by organizations or when network resources are unavailable. such accounts remain available and are not subject to automatic disabling or removal dates. conditions for disabling or deactivating accounts include, for example i when sharedgroup, emergency, or temporary accounts are no longer required or ii when individuals are transferred or terminated. some types of information system accounts may require specialized training. related controls ac-, ac-, ac-, ac-, ac-, ac-, ac-, ac-, au-, ia-, ia-, ia-, ia-, cm-, cm-, cm-, ma-, ma-, ma-, pl-, sc-."
AC-2(1),the organization employs automated mechanisms to support the management of information system accounts.
AC-2(2),the information system automatically selection removes disables temporary and emergency accounts after assignment organization-defined time period for each type of account.
AC-2(3),the information system automatically disables inactive accounts after assignment organization-defined time period.
AC-2(4),"the information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies assignment organization-defined personnel or roles."
AC-2(5),the organization requires that users log out when assignment organization-defined time-period of expected inactivity or description of when to log out.
AC-2(7),the organization a establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into rolesb monitors privileged role assignments andc takes assignment organization-defined actions when privileged role assignments are no longer appropriate.
AC-2(9),the organization only permits the use of sharedgroup accounts that meet assignment organization-defined conditions for establishing sharedgroup accounts.
AC-2(10),the information system terminates sharedgroup account credentials when members leave the group.
AC-2(12),the organization a monitors information system accounts for assignment organization-defined atypical use and b reports atypical usage of information system accounts to assignment organization-defined personnel or roles.
AC-3,the information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
AC-4,the information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on assignment organization-defined information flow control policies.
AC-4(21),the information system separates information flows logically or physically using assignment organization-defined mechanisms andor techniques to accomplish assignment organization- defined required separations by types of information.
AC-5,the organization a. separates assignment organization-defined duties of individuals b. documents separation of duties of individuals and c. defines information system access authorizations to support separation of duties.
