ID,TEXT
00.a,"an information security management program ismp shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement."
01.a,"an access control policy shall be established, documented, and reviewed based on business and security requirements for access."
01.b,there shall be a formal documented and implemented user registration and de-registration procedure for granting and revoking access.
01.c,"the allocation and use of privileges to information systems and services shall be restricted and controlled. special attention shall be given to the allocation of privileged access rights, which allow users to override system controls."
01.d,passwords shall be controlled through a formal management process.
01.e,all access rights shall be regularly reviewed by management via a formal documented process.
01.f,users shall be made aware of their responsibilities for maintaining effective access controls and shall be required to follow good security practices in the selection and use of passwords and security of equipment.
01.g,users shall ensure that unattended equipment has appropriate protection.
01.h,a clear desk policy for papers and removable storage media and a clear screen policy for information assets shall be adopted.
01.i,users shall only be provided with access to internal and external network services that they have been specifically authorized to use. authentication and authorization mechanisms shall be applied for users and equipment.
01.j,appropriate authentication methods shall be used to control access by remote users.
01.k,automatic equipment identification shall be used as a means to authenticate connections from specific locations and equipment.
01.l,physical and logical access to diagnostic and configuration ports shall be controlled.
01.m,"groups of information services, users, and information systems should be segregated on networks."
01.n,"for shared networks, especially those extending across the organizations boundaries, the capability of users to connect to the network shall be restricted, in line with the access control policy and requirements of the business applications."
01.o,routing controls shall be implemented for networks to ensure that computer connections and information flows do not breach the access control policy of the business applications.
01.p,access to operating systems shall be controlled by a secure log-on procedure.
01.q,"all users shall have a unique identifier user id for their personal use only, and an authentication technique shall be implemented to substantiate the claimed identity of a user."
01.r,systems for managing passwords shall be interactive and shall ensure quality passwords.
01.s,the use of utility programs that might be capable of overriding system and application controls shall be restricted and tightly controlled.
01.t,inactive sessions shall shut down after a defined period of inactivity.
01.u,restrictions on connection times shall be used to provide additional security for high-risk applications.
01.v,logical and physical access to information and application systems and functions by users and support personnel shall be restricted in accordance with the defined access control policy.
01.w,sensitive systems shall have a dedicated and isolated computing environment.
01.x,"a formal policy shall be in place, and appropriate security measures shall be adopted to protect against the risks of using mobile computing and communication devices."
01.y,"a policy, operational plans and procedures shall be developed and implemented for teleworking activities."
02.a,"security roles and responsibilities of employees, contractors and third-party users shall be defined and documented in accordance with the organizations information security policy."
02.b,"background verification checks on all candidates for employment, contractors, and third-party users shall be carried out in accordance with relevant laws, regulations and ethics, and proportional to the business requirements, the classification of the information to be accessed, and the perceived risks."
02.c,"as part of their contractual obligation, employees, contractors, and third-party users shall agree and sign the terms and conditions of their employment contract, which shall include their responsibilities for information security."
02.d,"management shall require employees, and where applicable, contractors and third-party users, to apply security in accordance with established policies and procedures of the organization."
02.e,"all employees of the organization and contractors and third-party users shall receive appropriate awareness training and regular updates in organizational policies and procedures, as relevant for their job function."
02.f,there shall be a formal disciplinary process for employees who have violated security policies and procedures.
