ID,TEXT
120.11,"a control. articles are controlled on the u.s. munitions list usml because they are either 1 enumerated in a category or 2 described in a catch-all paragraph that incorporates specially designed as a control parameter. in order to classify an item on the usml, begin with a review of the general characteristics of the item. this should guide you to the appropriate category, whereupon you should attempt to match the particular characteristics and functions of the article to a specific entry within that category. b specially designed. 1 if the entry includes the term specially designed, refer to 120.41 to determine if the article qualifies for one or more of the exclusions articulated in 120.41 b . 2 an item described in multiple entries should be categorized according to an enumerated entry rather than a specially designed catch-all paragraph. c integration of controlled items. defense articles described on the usml are controlled and remain subject to this subchapter following incorporation or integration into any item not described on the usml, unless specifically provided otherwise in this subchapter. d other controls. in all cases, articles not controlled on the usml may be subject to another u.s. government regulatory agency see 120.5, and supplement no. 4 to part 774 of the export administration regulations ear in title 15 of the cfr for guidance on classifying an item subject to the ear ."
120.12,"a upon electronic submission of a commodity jurisdiction determination form form ds 4076 , the directorate of defense trade controls ddtc shall provide a determination of whether a particular article or service is covered by the u.s. munitions list in part 121 of this subchapter. the determination, consistent with 120.2, 120.3, and 120.4, entails consultation among the departments of state, defense, commerce, and other u.s. government agencies and industry in appropriate cases. state, defense, and commerce will resolve commodity jurisdiction determination disputes in accordance with established procedures. state shall notify defense and commerce, and other u.s. government agencies as appropriate, of the initiation and conclusion of each case. b a determination that an article or service meets the criteria of a defense article or defense service, or provides the equivalent performance capabilities of a defense article on the u.s. munitions list, is made on a case-by-case basis, taking into account 1 the form and fit of the article 2 the function and performance capability of the article and 3 other applicant-provided information, to include a history of the product s design, development, and use, as well as specifications and any other relevant data as described in brochures and other related documents. c a determination that an article or service has a critical military or intelligence advantage such that it warrants control under category xxi of 121.1 of this subchapter is made, on a case-by-case basis, taking into account 1 the function and performance capability of the article and 2 the nature of controls imposed by other nations on such items including the wassenaar arrangement and other multilateral controls . d ddtc will provide a preliminary response within 10 working days of receipt of a complete request for commodity jurisdiction determination. if after 45 days ddtc has not provided a final commodity jurisdiction determination, the applicant may request in writing to the director, office of defense trade controls policy that this determination be given expedited processing. e a person may appeal a commodity jurisdiction determination by submitting a written request for reconsideration to the deputy assistant secretary of state for defense trade controls. the deputy assistant secretary s determination of the appeal will be provided, in writing, within 30 days of receipt of the appeal. if desired, an appeal of the deputy assistant secretary s decision can then be made to the assistant secretary of state for political-military affairs. f registration with ddtc as described in part 122 of this subchapter is not required prior to submission of a commodity jurisdiction determination request."
120.13,"a any person who engages in the united states in the business of manufacturing or exporting or temporarily importing defense articles, or furnishing defense services, is required to register with the directorate of defense trade controls as set forth in part 122 of this subchapter. for the purpose of this subchapter, engaging in such a business requires only one occasion of manufacturing or exporting or temporarily importing a defense article or furnishing a defense service. a manufacturer who does not engage in exporting must nevertheless register. b any u.s. person foreign person located in the united states or foreign person located outside the united states that is owned or controlled by a u.s. person, who engages in brokering activities is required to register with the directorate of defense trade controls as set forth in part 129 of this subchapter. c the registration requirements as set forth in parts 122 and 129 of this subchapter include limited exemptions."
120.14,"a export, reexport, retransfer, or temporary import, of defense articles. the approval of the directorate of defense trade controls ddtc must be requested and obtained before the export, reexport, retransfer, or temporary import of a defense article, unless an exemption under the provisions of this subchapter is applicable. b furnishing defense services. the approval of ddtc must be requested and obtained before a defense service may be furnished, unless an exemption under the provisions of this subchapter is applicable. c brokering activities. the approval of ddtc must be requested and obtained before engaging in the business of brokering activities for the defense articles described in 129.4 a of this subchapter by a person who is required to register as a broker under part 129 of this subchapter, unless an exemption under the provisions of part 129 is applicable."
120.15,"a persons otherwise required to register with the directorate of defense trade controls in accordance with this subchapter must do so prior to utilization of an exemption. b exemptions provided in this subchapter may not be utilized for transactions in which the exporter, any party to the export, any source or manufacturer, broker or other participant in the brokering activities, is generally ineligible as set forth in 120.16, unless prior written authorization has been granted by the directorate of defense trade controls. c exemptions provided in this subchapter do not apply with respect to defense articles or defense services originating in or for export to any proscribed countries, areas, or persons identified in 126.1 of this subchapter, except as provided in 126.1. d each exemption provided in this subchapter is subject to limitation as described in the section or paragraph of this subchapter in which the exemption is prescribed. e any person engaging in any export, reexport, transfer, or retransfer of a defense article or defense service pursuant to an exemption must maintain records of each such export, reexport, transfer, or retransfer. the records shall, to the extent applicable to the transaction and consistent with the requirements of 123.22 of this subchapter, include the following information a description of the defense article, including technical data, or defense service the name and address of the end-user and other available contact information e.g., telephone number and electronic mail address the name of the natural person responsible for the transaction the stated end-use of the defense article or defense service the date of the transaction the electronic export information eei internal transaction number itn and the method of transmission. the person using or acting in reliance upon the exemption shall also comply with any additional recordkeeping requirements enumerated in the text of the regulations concerning such exemption e.g., requirements specific to the defense trade cooperation treaties in 126.16 and 126.17 of this subchapter . f to claim an exemption for the export of technical data under the provisions of this subchapter e.g., 125.4 and 125.5 of this subchapter , the exporter must certify that the proposed export is covered by a relevant section of this subchapter, to include the paragraph and applicable subordinate paragraph. certifications consist of clearly marking the package or letter containing the technical data 22 cfr insert itar exemption applicable. this certification must be made in written form and retained in the exporter s files for a period of 5 years. for exports that are oral, visual, or electronic the exporter must also complete a written certification and retain it for a period of 5 years."
120.16,"a a u.s. person may receive a license or other approval pursuant to this subchapter. a foreign person may not receive such a license or other approval, except as follows 1 a foreign governmental entity in the u.s. may receive a license or other approval 2 a foreign person may receive a reexport or retransfer approval or 3 a foreign person may receive an approval for brokering activities. b a request for a license or other approval by a u.s. person or by a person referred to in paragraphs a 1 and 3 of this section will be considered only if the applicant has registered with the directorate of defense trade controls pursuant to part 122 or 129 of this subchapter, as appropriate. c persons who have been convicted of violating the u.s. criminal statutes enumerated in 120.6, who have been debarred pursuant to part 127 or 128 of this subchapter, who are subject to indictment or are otherwise charged e.g., charged by criminal information in lieu of indictment with violating the u.s. criminal statutes enumerated in 120.6, who are ineligible to contract with or to receive a license or other form of authorization to import defense articles or defense services from any agency of the u.s. government, who are ineligible to receive an export license or other approval from any other agency of the u.s. government, or who are subject to a publicly announced department of state policy of denial, suspension, or revocation under 120.18 a , are generally ineligible to be involved in activities regulated under this subchapter."
120.17,"a pursuant to section 40a of the arms export control act 22 u.s.c. 2785 and related delegations of authority, the department of state is required to establish a monitoring program in order to improve accountability with respect to defense articles and defense services, sold, leased, or exported under department of state licenses or other approvals under section 38 of the arms export control act and this subchapter. b all exports of defense articles, technical data, services, and brokering activities made pursuant to this subchapter are subject to end-use monitoring by the department of state through the blue lantern program."
120.18,"a policy. licenses or approvals shall be denied or revoked whenever required by any statute of the united states. any application for an export license or other approval under this subchapter may be disapproved, and any license or other approval or exemption granted under this subchapter may be revoked, suspended, or amended without prior notice whenever 1 the department of state deems such action to be in furtherance of world peace, the national security or the foreign policy of the united states, or is otherwise advisable or 2 the department of state believes that 22 u.s.c. 2778, any regulation contained in this subchapter, or the terms of any u.s. government export authorization including the terms of a manufacturing license or technical assistance agreement, or export authorization granted pursuant to the export administration regulations in 15 cfr parts 730 through 774 has been violated by any party to the export or other person having significant interest in the transaction or 3 an applicant is the subject of a criminal complaint, other criminal charge e.g., an information , or indictment for a violation of any of the u.s. criminal statutes enumerated in 120.6 or 4 an applicant or any party to the export or the agreement has been convicted of violating any of the u.s. criminal statutes enumerated in 120.6 or 5 an applicant is ineligible to contract with, or to receive a license or other authorization to import defense articles or defense services from, any agency of the u.s. government or 6 an applicant, any party to the export or agreement, any source or manufacturer of the defense article or defense service or any person who has a significant interest in the transaction has been debarred, suspended, or otherwise is ineligible to receive an export license or other authorization from any agency of the u.s. government e.g., pursuant to an order denying export privileges issued by the department of commerce under 15 cfr part 766 or by the department of state under part 127 or 128 of this subchapter or 7 an applicant has failed to include any of the information or documentation expressly required to support a license application, exemption, or other request for approval under this subchapter, or as required in the instructions in the applicable department of state form or has failed to provide notice or information as required under this subchapter or 8 an applicant is subject to sanctions under other relevant u.s. laws e.g., the missile technology controls title of the national defense authorization act for fy 1991 pub. l. 101 510 the chemical and biological weapons control and warfare elimination act of 1991 pub. l. 102 182 or the iran-iraq arms non-proliferation act of 1992 pub. l. 102 484 or 9 any person involved in the transaction has been the subject of an unfavorable finding of an end-use monitoring check as described in 120.17. b notification. the directorate of defense trade controls will notify applicants or licensees or other appropriate u.s. persons of actions taken pursuant to paragraph a of this section. the reasons for the action will be stated as specifically as security and foreign policy considerations permit. c reconsideration. if a written request for reconsideration of an adverse decision is made within 30 days after a person has been informed of the decision, the u.s. person will be accorded an opportunity to present additional information. the case will then be reviewed by the directorate of defense trade controls. d reconsideration of certain applications. applications for licenses or other requests for approval denied for repeated failure to provide information or documentation expressly required will normally not be reconsidered during the 30 day period following denial. they will be reconsidered after this period only after a final decision is made on whether the applicant will be subject to an administrative penalty imposed pursuant to this subchapter. any request for reconsideration shall be accompanied by a letter explaining the steps that have been taken to correct the failure and to ensure compliance with the requirements of this subchapter."
120.19,"a part 127 of this subchapter specifies conduct that constitutes a violation of the arms export control act aeca and or the international traffic in arms regulations in this subchapter and the sanctions that may be imposed for such violations. b the department strongly encourages the disclosure of information to the directorate of defense trade controls by persons that believe they may have violated any export control provision of the aeca, or any regulation in this subchapter, order, license, or other authorization issued under the authority of the aeca."
120.21,"a freedom of information. subchapter r of this title contains regulations on the availability to the public of information and records of the department of state. the provisions of subchapter r apply to such disclosures by the directorate of defense trade controls. b determinations required by law. section 38 e of the arms export control act aeca 22 u.s.c. 2778 e provides that information obtained for the purpose of consideration of, or concerning, license applications shall be withheld from public disclosure unless the release of such information is determined by the secretary of state to be in the national interest. section 38 e of the aeca further provides that the names of countries and types and quantities of defense articles for which licenses are issued under this section shall not be withheld from public disclosure unless certain determinations are made that the release of such information would be contrary to the national interest. such determinations required by section 38 e shall be made by the assistant secretary of state for political-military affairs. c information required under part 130 of this subchapter. part 130 contains specific provisions on the disclosure of information described in that part. d national interest determinations. in accordance with section 38 e of the aeca, the secretary of state has determined that the following disclosures are in the national interest of the united states 1 furnishing information to foreign governments for law enforcement or regulatory purposes and 2 furnishing information to foreign governments and other agencies of the u.s. government in the context of multilateral or bilateral export regimes e.g., the missile technology control regime, the australia group, and wassenaar arrangement ."
