ID,TEXT
AC-1,"the organization develops, documents, and disseminates to assignment organization-defined personnel or roles an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance and procedures to facilitate the implementation of the access control policy and associated access controls and reviews and updates the current access control policy assignment organization-defined frequency and access control procedures assignment organization-defined frequency ."
AC-2,"the organization identifies and selects the following types of information system accounts to support organizational missions business functions assignment organization-defined information system account types assigns account managers for information system accounts establishes conditions for group and role membership specifies authorized users of the information system, group and role membership, and access authorizations i.e., privileges and other attributes as required for each account requires approvals by assignment organization-defined personnel or roles for requests to create information system accounts creates, enables, modifies, disables, and removes information system accounts in accordance with assignment organization-defined procedures or conditions monitors the use of information system accounts notifies account managers when accounts are no longer required when users are terminated or transferred and when individual information system usage or need-to-know changes authorizes access to the information system based on a valid access authorization intended system usage and other attributes as required by the organization or associated missions business functions reviews accounts for compliance with account management requirements assignment organization-defined frequency and establishes a process for reissuing shared group account credentials if deployed when individuals are removed from the group."
AC-2(1),the organization employs automated mechanisms to support the management of information system accounts.
AC-2(2),the information system automatically selection removes disables temporary and emergency accounts after assignment organization-defined time period for each type of account .
AC-2(3),the information system automatically disables inactive accounts after assignment organization-defined time period .
AC-2(4),"the information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies assignment organization-defined personnel or roles ."
AC-2(5),the organization requires that users log out when assignment organization-defined time-period of expected inactivity or description of when to log out .
AC-2(6),the information system implements the following dynamic privilege management capabilities assignment organization-defined list of dynamic privilege management capabilities .
AC-2(7),the organization
AC-2(7)(a),establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles
AC-2(7)(b),monitors privileged role assignments and
AC-2(7)(c),takes assignment organization-defined actions when privileged role assignments are no longer appropriate.
AC-2(8),the information system creates assignment organization-defined information system accounts dynamically.
AC-2(9),the organization only permits the use of shared group accounts that meet assignment organization-defined conditions for establishing shared group accounts .
AC-2(10),the information system terminates shared group account credentials when members leave the group.
AC-2(11),the information system enforces assignment organization-defined circumstances and or usage conditions for assignment organization-defined information system accounts .
AC-2(12),the organization
AC-2(12)(a),monitors information system accounts for assignment organization-defined atypical usage and
AC-2(12)(b),reports atypical usage of information system accounts to assignment organization-defined personnel or roles .
AC-2(13),the organization disables accounts of users posing a significant risk within assignment organization-defined time period of discovery of the risk.
AC-3,the information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
AC-3(1),withdrawn incorporated into ac-6 .
AC-3(2),the information system enforces dual authorization for assignment organization-defined privileged commands and or other organization-defined actions .
AC-3(3),the information system enforces assignment organization-defined mandatory access control policy over all subjects and objects where the policy
AC-3(3)(a),is uniformly enforced across all subjects and objects within the boundary of the information system
AC-3(3)(b),specifies that a subject that has been granted access to information is constrained from doing any of the following
AC-3(3)(b)(1),passing the information to unauthorized subjects or objects
AC-3(3)(b)(2),granting its privileges to other subjects
AC-3(3)(b)(3),"changing one or more security attributes on subjects, objects, the information system, or information system components"
AC-3(3)(b)(4),choosing the security attributes and attribute values to be associated with newly created or modified objects or
AC-3(3)(b)(5),changing the rules governing access control and
AC-3(3)(c),"specifies that assignment organization-defined subjects may explicitly be granted assignment organization-defined privileges i.e., they are trusted subjects such that they are not limited by some or all of the above constraints."
AC-3(4),the information system enforces assignment organization-defined discretionary access control policy over defined subjects and objects where the policy specifies that a subject that has been granted access to information can do one or more of the following
AC-3(4)(a),pass the information to any other subjects or objects
AC-3(4)(b),grant its privileges to other subjects
AC-3(4)(c),"change security attributes on subjects, objects, the information system, or the information system s components"
AC-3(4)(d),choose the security attributes to be associated with newly created or revised objects or
AC-3(4)(e),change the rules governing access control.
AC-3(5),"the information system prevents access to assignment organization-defined security-relevant information except during secure, non-operable system states."
AC-3(6),withdrawn incorporated into mp-4 and sc-28 .
AC-3(7),the information system enforces a role-based access control policy over defined subjects and objects and controls access based upon assignment organization-defined roles and users authorized to assume such roles .
AC-3(8),the information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on assignment organization-defined rules governing the timing of revocations of access authorizations .
AC-3(9),the information system does not release information outside of the established system boundary unless
AC-3(9)(a),the receiving assignment organization-defined information system or system component provides assignment organization-defined security safeguards and
AC-3(9)(b),assignment organization-defined security safeguards are used to validate the appropriateness of the information designated for release.
AC-3(10),the organization employs an audited override of automated access control mechanisms under assignment organization-defined conditions .
