ID,TEXT
AC-1,"the organization develops, disseminates, and reviews updates assignment organization-defined frequency a formal, documented access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance and formal, documented procedures to facilitate the implementation of the access control policy and associated access controls."
AC-2,"the organization manages information system accounts, including identifying account types i.e., individual, group, system, application, guest anonymous, and temporary establishing conditions for group membership identifying authorized users of the information system and specifying access privileges requiring appropriate approvals for requests to establish accounts establishing, activating, modifying, disabling, and removing accounts specifically authorizing and monitoring the use of guest anonymous and temporary accounts notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or information system usage or need-to-know need-to-share changes deactivating i temporary accounts that are no longer required and ii accounts of terminated or transferred users granting access to the system based on i a valid access authorization ii intended system usage and iii other attributes as required by the organization or associated missions business functions and reviewing accounts assignment organization-defined frequency ."
AC-3,the information system enforces approved authorizations for logical access to the system in accordance with applicable policy.
AC-4,the information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with applicable policy.
AC-5,"the organization separates duties of individuals as necessary, to prevent malevolent activity without collusion documents separation of duties and implements separation of duties through assigned information system access authorizations."
AC-6,"the organization employs the concept of least privilege, allowing only authorized accesses for users and processes acting on behalf of users which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions."
AC-7,the information system enforces a limit of assignment organization-defined number consecutive invalid login attempts by a user during a assignment organization-defined time period and automatically selection locks the account node for an assignment organization-defined time period locks the account node until released by an administrator delays next login prompt according to assignment organization-defined delay algorithm when the maximum number of unsuccessful attempts is exceeded. the control applies regardless of whether the login occurs via a local or network connection.
AC-8,"the information system displays an approved system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, executive orders, directives, policies, regulations, standards, and guidance and states that i users are accessing a u.s. government information system ii system usage may be monitored, recorded, and subject to audit iii unauthorized use of the system is prohibited and subject to criminal and civil penalties and iv use of the system indicates consent to monitoring and recording retains the notification message or banner on the screen until users take explicit actions to log on to or further access the information system and for publicly accessible systems i displays the system use information when appropriate, before granting further access ii displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities and iii includes in the notice given to public users of the information system, a description of the authorized uses of the system."
AC-9,"the information system notifies the user, upon successful logon access , of the date and time of the last logon access ."
AC-10,the information system limits the number of concurrent sessions for each system account to assignment organization-defined number .
AC-11,the information system prevents further access to the system by initiating a session lock after assignment organization-defined time period of inactivity or upon receiving a request from a user and retains the session lock until the user reestablishes access using established identification and authentication procedures.
AC-12,withdrawn incorporated into sc-10 .
AC-13,withdrawn incorporated into ac-2 and au-6 .
AC-14,"the organization identifies specific user actions that can be performed on the information system without identification or authentication and documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication."
AC-15,withdrawn incorporated into mp-3 .
AC-16,"the information system supports and maintains the binding of assignment organization-defined security attributes to information in storage, in process, and in transmission."
AC-17,the organization documents allowed methods of remote access to the information system establishes usage restrictions and implementation guidance for each allowed remote access method monitors for unauthorized remote access to the information system authorizes remote access to the information system prior to connection and enforces requirements for remote connections to the information system.
AC-18,the organization establishes usage restrictions and implementation guidance for wireless access monitors for unauthorized wireless access to the information system authorizes wireless access to the information system prior to connection and enforces requirements for wireless connections to the information system.
AC-19,the organization establishes usage restrictions and implementation guidance for organization-controlled mobile devices authorizes connection of mobile devices meeting organizational usage restrictions and implementation guidance to organizational information systems monitors for unauthorized connections of mobile devices to organizational information systems enforces requirements for the connection of mobile devices to organizational information systems disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and procedures and applies assignment organization-defined inspection and preventative measures to mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures.
AC-20,"the organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and or maintaining external information systems, allowing authorized individuals to access the information system from the external information systems and process, store, and or transmit organization-controlled information using the external information systems."
AC-21,the organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for assignment organization-defined information sharing circumstances where user discretion is required and employs assignment list of organization-defined information sharing circumstances and automated mechanisms or manual processes required to assist users in making information sharing collaboration decisions.
AC-22,"the organization designates individuals authorized to post information onto an organizational information system that is publicly accessible trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information reviews the proposed content of publicly accessible information for nonpublic information prior to posting onto the organizational information system reviews the content on the publicly accessible organizational information system for nonpublic information assignment organization-defined frequency and removes nonpublic information from the publicly accessible organizational information system, if discovered."
AT-1,"the organization develops, disseminates, and reviews updates assignment organization-defined frequency a formal, documented security awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance and formal, documented procedures to facilitate the implementation of the security awareness and training policy and associated security awareness and training controls."
AT-2,"the organization provides basic security awareness training to all information system users including managers, senior executives, and contractors as part of initial training for new users, when required by system changes, and assignment organization-defined frequency thereafter."
AT-3,the organization provides role-based security-related training i before authorizing access to the system or performing assigned duties ii when required by system changes and iii assignment organization-defined frequency thereafter.
AT-4,the organization documents and monitors individual information system security training activities including basic security awareness training and specific information system security training and retains individual training records for assignment organization-defined time period .
AT-5,"the organization establishes and institutionalizes contact with selected groups and associations within the security community - to facilitate ongoing security education and training for organizational personnel - to stay up to date with the latest recommended security practices, techniques, and technologies and - to share current security-related information including threats, vulnerabilities, and incidents."
AU-1,"the organization develops, disseminates, and reviews updates assignment organization-defined frequency a formal, documented audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance and formal, documented procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls."
AU-2,"the organization determines, based on a risk assessment and mission business needs, that the information system must be capable of auditing the following events assignment organization-defined list of auditable events coordinates the security audit function with other organizational entities requiring audit-related information to enhance mutual support and to help guide the selection of auditable events provides a rationale for why the list of auditable events are deemed to be adequate to support after-the-fact investigations of security incidents and determines, based on current threat information and ongoing assessment of risk, that the following events are to be audited within the information system assignment organization-defined subset of the auditable events defined in au-2 a. to be audited along with the frequency of or situation requiring auditing for each identified event ."
AU-3,"the information system produces audit records that contain sufficient information to, at a minimum, establish what type of event occurred, when date and time the event occurred, where the event occurred, the source of the event, the outcome success or failure of the event, and the identity of any user subject associated with the event."
AU-4,the organization allocates audit record storage capacity and configures auditing to reduce the likelihood of such capacity being exceeded.
AU-5,"the information system alerts designated organizational officials in the event of an audit processing failure and takes the following additional actions assignment organization-defined actions to be taken e.g., shut down information system, overwrite oldest audit records, stop generating audit records ."
AU-6,"the organization reviews and analyzes information system audit records assignment organization-defined frequency for indications of inappropriate or unusual activity, and reports findings to designated organizational officials and adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk to organizational operations, organizational assets, individuals, other organizations, or the nation based on law enforcement information, intelligence information, or other credible sources of information."
AU-7,the information system provides an audit reduction and report generation capability.
AU-8,the information system uses internal system clocks to generate time stamps for audit records.
AU-9,"the information system protects audit information and audit tools from unauthorized access, modification, and deletion."
AU-10,the information system protects against an individual falsely denying having performed a particular action.
AU-11,the organization retains audit records for assignment organization-defined time period consistent with records retention policy to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.
AU-12,the information system provides audit record generation capability for the list of auditable events defined in au-2 at assignment organization-defined information system components allows designated organizational personnel to select which auditable events are to be audited by specific components of the system and generates audit records for the list of audited events defined in au-2 with the content as defined in au-3.
AU-13,the organization monitors open source information for evidence of unauthorized exfiltration or disclosure of organizational information assignment organization-defined frequency .
AU-14,the information system provides the capability to capture record and log all content related to a user session and remotely view hear all content related to an established user session in real time.
