AAC-01,CA-2(1),CA-7(1)
AAC-02,CA-2(1),CA-7(1)
BCR-01,CP-2(1),CP-2(3),CP-2(8)
BCR-02,CP-4(1),IR-3(2)
BCR-03,CP-8(1),CP-8(2)
BCR-05,PE-13(3),CP-6(1),CP-6(3),CP-7(1),CP-7(2),CP-7(3)
BCR-06,CP-6(1),CP-7(1)
BCR-07,MA-3(1),MA-3(2),MA-4(2)
BCR-08,CP-8(1),CP-8(2)
BCR-09,CP-2(1),CP-2(3),CP-2(8)
CCC-03,CM-3(2)
DCS-01,CP-2(8)
DCS-07,PE-6(1)
DCS-08,PE-6(1)
DSI-03,SC-8(1)
EKM-01,IA-5(2)
EKM-03,SC-8(1)
GRM-01,CM-2(1)
HRS-11,AC-11(1)
IAM-01,AC-2(4),AC-6(1),AC-6(5),AU-9(4)
IAM-02,AC-2(1),AC-2(2),IA-2(1),IA-2(2),IA-5(1),IA-5(2),IA-5(3)
IAM-03,AC-2(1)
IAM-07,AC-20(1),SI-4(4)
IAM-09,AC-6(1)
IAM-10,AC-2(3),AC-2(4)
IAM-11,AC-2(2),AC-2(3)
IAM-12,AC-2(1)
IAM-13,AC-2(1),CM-7(1),CM-7(2)
IPY-04,SC-8(1)
IVS-02,CM-8(3)
IVS-06,SC-7(5),SC-7(4)
IVS-11,AC-6(1),AC-6(2),AC-6(5)
MOS-06,AC-20(1)
MOS-09,CM-8(1),CM-8(3),CM-8(5)
MOS-11,AC-19(5),AC-20(1)
MOS-12,AC-20(1)
MOS-14,AC-11(1),AC-20(1)
MOS-15,AC-20(1)
MOS-16,IA-5(1),AC-20(1)
MOS-19,CM-2(1)
