ID,TEXT
CC1.1,the entity demonstrates a commitment to integrity and ethical values.
CC1.2,the board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.
CC1.3,"management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives."
CC1.4,"coso principle 4 the entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives."
CC1.5,coso principle 5 the entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.
CC2.1,"coso principle 13 the entity obtains or generates and uses relevant, quality information to support the functioning of internal control."
CC2.2,"coso principle 14 the entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control."
CC2.3,coso principle 15 the entity communicates with external parties regarding matters affecting the functioning of internal control.
CC3.1,coso principle 6 the entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives.
CC3.2,coso principle 7 the entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.
CC3.3,coso principle 8 the entity considers the potential for fraud in assessing risks to the achievement of objectives.
CC3.4,coso principle 9 the entity identifies and assesses changes that could significantly impact the system of internal control.
CC4.1,"coso principle 16 the entity selects, develops, and performs ongoing and or separate evaluations to ascertain whether the components of internal control are present and functioning."
CC4.2,"coso principle 17 the entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate."
CC5.1,coso principle 10 the entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.
CC5.2,coso principle 11 the entity also selects and develops general control activities over technology to support the achievement of objectives.
CC5.3,coso principle 12 the entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.
CC6.1,"the entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity s objectives."
CC6.2,"prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. for those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized."
CC6.3,"the entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity s objectives."
CC6.4,"the entity restricts physical access to facilities and protected information assets for example, data center facilities, back-up media storage, and other sensitive locations to authorized personnel to meet the entity s objectives."
CC6.5,the entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity s objectives.
CC6.6,the entity implements logical access security measures to protect against threats from sources outside its system boundaries.
CC6.7,"the entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity s objectives."
CC6.8,the entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity s objectives.
CC7.1,"to meet its objectives, the entity uses detection and monitoring procedures to identify 1 changes to configurations that result in the introduction of new vulnerabilities, and 2 susceptibilities to newly discovered vulnerabilities."
CC7.2,"the entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity s ability to meet its objectives anomalies are analyzed to determine whether they represent security events."
CC7.3,"the entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives security incidents and, if so, takes actions to prevent or address such failures."
CC7.4,"the entity responds to identified security incidents by executing a defined incident response program to understand, contain, remediate, and communicate security incidents, as appropriate."
CC7.5,"the entity identifies, develops, and implements activities to recover from identified security incidents."
CC8.1,"the entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives."
CC9.1,"the entity identifies, selects, and develops risk mitigation activities for risks arising from potential business disruptions."
CC9.2,the entity assesses and manages risks associated with vendors and business partners.
