ID,TEXT
OIS-01,"the company management initiates, controls and monitors an information security management system isms based on the iso standards of the 2700x series. the instruments and methods used for this enable a comprehensible control of the following tasks and activities for the permanent maintenance of information security planning, implementation of the planning or execution of the project, success control or monitoring of target achievement and elimination of identified deficiencies and weaknesses and continuous improvement. the isms also includes the it processes for developing and operating the cloud service."
OIS-02,"a security guideline with security goals and strategic guidelines on how these goals are to be achieved is documented. the security goals are derived from the corporate goals and business processes, relevant laws and regulations, as well as the current and future expected threat environment in relation to information security. the strategic guidelines represent basic framework conditions that are specified in more detail in further guidelines and instructions cf. sa-01 . the policy is approved by senior management and communicated to all affected internal and external parties of the cloud provider e.g. cloud customers, subcontractors ."
OIS-03,"responsibilities shared between cloud providers and cloud customers, obligations to cooperate and the interfaces for reporting security incidents and faults are defined and documented depending on the cloud model infrastructure, platform or software-as-a-service and the contractual obligations , assigned and communicated to all affected internal and external parties e.g. cloud customers, cloud provider subcontractors . on the part of the cloud provider, at least the following roles or comparable equivalents are described in the security policy or associated guidelines and corresponding responsibilities are assigned head of it cio it security officer ciso officer for handling it security incidents e.g. cert manager changes to responsibilities and interfaces are communicated internally and externally in such a timely manner that all affected internal and external parties e.g. cloud customers can respond appropriately with organizational and technical measures before the change takes effect."
OIS-04,"organizational and technical controls are in place to ensure the separation of roles and responsibilities ""separation of duties"" that are incompatible in terms of confidentiality, integrity and availability of cloud customer information. controls for segregation of duties are set up in the following areas in particular administration of roles, approval and assignment of access rights for users under the responsibility of the cloud provider, development and implementation of changes to the cloud service, maintenance of the physical and logical it infrastructure relevant to the cloud service networks, operating systems, databases and the it applications, insofar as these are the responsibility of the cloud provider according to the contractual agreements with the cloud customer. operational and controlling functions should not be performed by one person at the same time. if the separation of duties cannot be achieved for organizational or technical reasons, appropriate compensatory controls are in place to prevent or detect abusive activities."
OIS-05,appropriate contacts with authorities and interest groups that are relevant for the cloud provider have been established in order to always be informed about current threats and countermeasures.
OIS-06,"guidelines and instructions on the basic procedure for identifying, analyzing, assessing and dealing with risks and in particular it risks are documented, communicated and provided in accordance with sa-01."
OIS-07,"the procedures for identifying, analyzing, assessing and dealing with risks, including the it risks relevant to the cloud service, are run through at least once a year in order to take internal and external changes and influencing factors into account. the identified risks are documented and evaluated in accordance with the risk management measures and provided with mitigating measures."
SA-01,"policies and instructions on information security or related topics derived from the security policy are documented according to a uniform structure. they are communicated and made available to all internal and external employees of the cloud provider in an appropriate and needs-based manner. guidelines are versioned and approved by the cloud provider s senior management. the guidelines and instructions describe at least the following aspects goals, areas of application, roles and responsibilities, including requirements for staff qualifications and setting up stand-in arrangements, the coordination of different areas of the company, security architecture and measures to protect data, it applications and it infrastructure managed by the cloud provider or by third parties as well measures to comply with legal and regulatory requirements compliance ."
SA-02,"the guidelines and instructions on information security are reviewed at least once a year to ensure that they are appropriate and effective by specialists from the cloud provider who are familiar with the topic. the review takes into account at least organizational changes at the cloud provider, the current and future expected threat environment related to information security, and legal and technical changes in the cloud provider s environment. revised guidelines and instructions will be approved by the cloud provider s authorized bodies or bodies before they become effective."
SA-03,exceptions to guidelines and instructions on information security are approved in a documented form by the cloud provider s authorized bodies or offices. the appropriateness of approved exceptions and the assessment of the resulting risks is reviewed at least annually by specialists from the cloud provider who are familiar with the topics against the background of the current and expected future threat environment in relation to information security.
