ID,TEXT
1.1,utilize an active discovery tool to identify devices connected to the organizations network and update the hardware asset inventory.
1.2,utilize a passive discovery tool to identify devices connected to the organizations network and automatically update the organizations hardware asset inventory.
1.3,use dynamic host configuration protocol dhcp logging on all dhcp servers or ip address management tools to update the organizations hardware asset inventory.
1.4,"maintain an accurate and up-to-date inventory of all technology assets with the potential to store or process information. this inventory shall include all hardware assets, whether connected to the organizations network or not."
1.5,"ensure that the hardware asset inventory records the network address, hardware address, machine name, data asset owner, and department for each asset and whether the hardware asset has been approved to connect to the network."
1.6,"ensure that unauthorized assets are either removed from the network, quarantined or the inventory is updated in a timely manner."
1.7,"utilize port level access control, following .x standards, to control which devices can authenticate to the network. the authentication system shall be tied into the hardware asset inventory data to ensure only authorized devices can connect to the network."
1.8,use client certificates to authenticate hardware assets connecting to the organizations trusted network.
2.1,maintain an up-to-date list of all authorized software that is required in the enterprise for any business purpose on any business system.
2.2,ensure that only software applications or operating systems currently supported by the softwares vendor are added to the organizations authorized software inventory. unsupported software should be tagged as unsupported in the inventory system.
2.3,utilize software inventory tools throughout the organization to automate the documentation of all software on business systems.
2.4,"the software inventory system should track the name, version, publisher, and install date for all software, including operating systems authorized by the organization."
2.5,the software inventory system should be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.
2.6,ensure that unauthorized software is either removed or the inventory is updated in a timely manner.
2.7,utilize application whitelisting technology on all assets to ensure that only authorized software executes and all unauthorized software is blocked from executing on assets.
2.8,"the organizations application whitelisting software must ensure that only authorized software libraries such as .dll, .ocx, .so, etc. are allowed to load into a system process."
2.9,"the organizations application whitelisting software must ensure that only authorized, digitally signed scripts such as .ps, .py, macros, etc. are allowed to run on a system."
2.10,physically or logically segregated systems should be used to isolate and run software that is required for business operations but incur higher risk for the organization.
3.1,utilize an up-to-date scap-compliant vulnerability scanning tool to automatically scan all systems on the network on a weekly or more frequent basis to identify all potential vulnerabilities on the organizations systems.
3.2,perform authenticated vulnerability scanning with agents running locally on each system or with remote scanners that are configured with elevated rights on the system being tested.
3.3,"use a dedicated account for authenticated vulnerability scans, which should not be used for any other administrative activities and should be tied to specific machines at specific ip addresses."
3.4,deploy automated software update tools in order to ensure that the operating systems are running the most recent security updates provided by the software vendor.
3.5,deploy automated software update tools in order to ensure that third-party software on all systems is running the most recent security updates provided by the software vendor.
3.6,regularly compare the results from backto-back vulnerability scans to verify that vulnerabilities have been remediated in a timely manner.
3.7,utilize a risk-rating process to prioritize the remediation of discovered vulnerabilities.
4.1,"use automated tools to inventory all administrative accounts, including domain and local accounts, to ensure that only authorized individuals have elevated privileges."
4.2,"before deploying any new asset, change all default passwords to have values consistent with administrative level accounts."
4.3,"ensure that all users with administrative account access use a dedicated or secondary account for elevated activities. this account should only be used for administrative activities and not internet browsing, email, or similar activities."
4.4,"where multi-factor authentication is not supported such as local administrator, root, or service accounts, accounts will use passwords that are unique to that system."
4.5,use multi-factor authentication and encrypted channels for all administrative account access.
4.6,"ensure administrators use a dedicated machine for all administrative tasks or tasks requiring administrative access. this machine will be segmented from the organizations primary network and not be allowed internet access. this machine will not be used for reading email, composing documents, or browsing the internet."
4.7,limit access to scripting tools such as microsoft powershell and python to only administrative or development users with the need to access those capabilities.
4.8,configure systems to issue a log entry and alert when an account is added to or removed from any group assigned administrative privileges.
4.9,configure systems to issue a log entry and alert on unsuccessful logins to an administrative account.
5.1,"maintain documented, standard security configuration standards for all authorized operating systems and software."
5.2,maintain secure images or templates for all systems in the enterprise based on the organizations approved configuration standards. any new system deployment or existing system that becomes compromised should be imaged using one of those images or templates.
5.3,"store the master images and templates on securely configured servers, validated with integrity monitoring tools, to ensure that only authorized changes to the images are possible."
5.4,deploy system configuration management tools that will automatically enforce and redeploy configuration settings to systems at regularly scheduled intervals.
5.5,"utilize a security content automation protocol scap compliant configuration monitoring system to verify all security configuration elements, catalog approved exceptions, and alert when unauthorized changes occur."
6.1,use at least three synchronized time sources from which all servers and network devices retrieve time information on a regular basis so that timestamps in logs are consistent.
6.2,ensure that local logging has been enabled on all systems and networking devices.
6.3,"enable system logging to include detailed information such as an event source, date, user, timestamp, source addresses, destination addresses, and other useful elements."
6.4,ensure that all systems that store logs have adequate storage space for the logs generated.
6.5,ensure that appropriate logs are being aggregated to a central log management system for analysis and review.
6.6,deploy security information and event management siem or log analytic tool for log correlation and analysis.
6.7,"on a regular basis, review logs to identify anomalies or abnormal events."
6.8,"on a regular basis, tune your siem system to better identify actionable events and decrease event noise."
7.1,"ensure that only fully supported web browsers and email clients are allowed to execute in the organization, ideally only using the latest version of the browsers and email clients provided by the vendor."
7.2,uninstall or disable any unauthorized browser or email client plugins or add-on applications.
7.3,ensure that only authorized scripting languages are able to run in all web browsers and email clients.
7.4,"enforce network-based url filters that limit a systems ability to connect to websites not approved by the organization. this filtering shall be enforced for each of the organizations systems, whether they are physically at an organizations facilities or not."
7.5,subscribe to url categorization services to ensure that they are up-to-date with the most recent website category definitions available. uncategorized sites shall be blocked by default.
7.6,"log all url requests from each of the organizations systems, whether on-site or a mobile device, in order to identify potentially malicious activity and assist incident handlers with identifying potentially compromised systems."
7.7,use dns filtering services to help block access to known malicious domains.
7.8,"to lower the chance of spoofed or modified emails from valid domains, implement domainbased message authentication, reporting and conformance dmarc policy and verification, starting by implementing the sender policy framework spf and the domain keys identified mail dkim standards."
7.9,block all email attachments entering the organizations email gateway if the file types are unnecessary for the organizations business.
7.10,use sandboxing to analyze and block inbound email attachments
8.1,utilize centrally managed anti-malware software to continuously monitor and defend each of the organizations workstations and servers.
8.2,ensure that the organizations anti-malware software updates its scanning engine and signature database on a regular basis.
8.3,enable anti-exploitation features such as data execution prevention dep or address space layout randomization aslr that are available in an operating system or deploy appropriate toolkits that can be configured to apply protection to a broader set of applications and executables.
8.4,configure devices so that they automatically conduct an anti-malware scan of removable media when inserted or connected.
8.5,configure devices to not auto-run content from removable media.
8.6,send all malware detection events to enterprise anti-malware administration tools and event log servers for analysis and alerting.
8.7,enable domain name system dns query logging to detect hostname lookups for known malicious domains.
8.8,"enable command-line audit logging for command shells, such as microsoft powershell and bash."
9.1,"associate active ports, services and protocols to the hardware assets in the asset inventory."
9.2,"ensure that only network ports, protocols, and services listening on a system with validated business needs are running on each system."
9.3,perform automated port scans on a regular basis against all systems and alert if unauthorized ports are detected on a system.
9.4,"apply host-based firewalls or port filtering tools on end systems, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed."
9.5,place application firewalls in front of any critical servers to verify and validate the traffic going to the server. any unauthorized traffic should be blocked and logged.
10.1,ensure that all system data is automatically backed up on a regular basis.
10.2,"ensure that all of the organizations key systems are backed up as a complete system, through processes such as imaging, to enable the quick recovery of an entire system."
10.3,test data integrity on backup media on a regular basis by performing a data restoration process to ensure that the backup is properly working.
10.4,"ensure that backups are properly protected via physical security or encryption when they are stored, as well as when they are moved across the network. this includes remote backups and cloud services."
10.5,ensure that all backups have at least one backup destination that is not continuously addressable through operating system calls.
11.1,"maintain standard, documented security configuration standards for all authorized network devices."
11.2,"all configuration rules that allow traffic to flow through network devices should be documented in a configuration management system with a specific business reason for each rule, a specific individuals name responsible for that business need, and an expected duration of the need."
11.3,compare all network device configuration against approved security configurations defined for each network device in use and alert when any deviations are discovered.
11.4,install the latest stable version of any securityrelated updates on all network devices.
11.5,manage all network devices using multi-factor authentication and encrypted sessions.
11.6,"ensure network engineers use a dedicated machine for all administrative tasks or tasks requiring elevated access. this machine shall be segmented from the organizations primary network and not be allowed internet access. this machine shall not be used for reading email, composing documents, or surfing the internet."
11.7,"manage the network infrastructure across network connections that are separated from the business use of that network, relying on separate vlans or, preferably, on entirely different physical connectivity for management sessions for network devices."
12.1,maintain an up-to-date inventory of all of the organizations network boundaries.
12.2,perform regular scans from outside each trusted network boundary to detect any unauthorized connections which are accessible across the boundary.
12.3,deny communications with known malicious or unused internet ip addresses and limit access only to trusted and necessary ip address ranges at each of the organizations network boundaries.
12.4,deny communication over unauthorized tcp or udp ports or application traffic to ensure that only authorized protocols are allowed to cross the network boundary in or out of the network at each of the organizations network boundaries.
12.5,configure monitoring systems to record network packets passing through the boundary at each of the organizations network boundaries.
12.6,deploy network-based intrusion detection systems ids sensors to look for unusual attack mechanisms and detect compromise of these systems at each of the organizations network boundaries.
12.7,deploy network-based intrusion prevention systems ips to block malicious network traffic at each of the organizations network boundaries.
12.8,enable the collection of netflow and logging data on all network boundary devices.
12.9,ensure that all network traffic to or from the internet passes through an authenticated application layer proxy that is configured to filter unauthorized connections.
12.10,"decrypt all encrypted network traffic at the boundary proxy prior to analyzing the content. however, the organization may use whitelists of allowed sites that can be accessed through the proxy without decrypting the traffic."
12.11,require all remote login access to the organizations network to encrypt data in transit and use multi-factor authentication.
12.12,scan all enterprise devices remotely logging into the organizations network prior to accessing the network to ensure that each of the organizations security policies has been enforced in the same manner as local network devices.
13.1,"maintain an inventory of all sensitive information stored, processed, or transmitted by the organizations technology systems, including those located on-site or at a remote service provider."
13.2,remove sensitive data or systems not regularly accessed by the organization from the network. these systems shall only be used as stand-alone systems disconnected from the network by the business unit needing to occasionally use the system or completely virtualized and powered off until needed.
13.3,deploy an automated tool on network perimeters that monitors for unauthorized transfer of sensitive information and blocks such transfers while alerting information security professionals.
13.4,only allow access to authorized cloud storage or email providers.
13.5,monitor all traffic leaving the organization and detect any unauthorized use of encryption.
13.6,utilize approved whole disk encryption software to encrypt the hard drive of all mobile devices.
13.7,"if usb storage devices are required, enterprise software should be used that can configure systems to allow the use of specific devices. an inventory of such devices should be maintained."
13.8,"configure systems not to write data to external removable media, if there is no business need for supporting such devices."
13.9,"if usb storage devices are required, all data stored on such devices must be encrypted while at rest."
14.1,"segment the network based on the label or classification level of the information stored on the servers, locate all sensitive information on separated virtual local area networks vlans."
14.2,enable firewall filtering between vlans to ensure that only authorized systems are able to communicate with other systems necessary to fulfill their specific responsibilities.
14.3,"disable all workstation to workstation communication to limit an attackers ability to move laterally and compromise neighboring systems, through technologies such as private vlans or micro segmentation."
14.4,encrypt all sensitive information in transit.
14.5,"utilize an active discovery tool to identify all sensitive information stored, processed, or transmitted by the organizations technology systems, including those located on-site or at a remote service provider, and update the organizations sensitive information inventory."
14.6,"protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. these controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
14.7,"use an automated tool, such as host-based data loss prevention, to enforce access controls to data even when the data is copied off a system."
14.8,"encrypt all sensitive information at rest using a tool that requires a secondary authentication mechanism not integrated into the operating system, in order to access the information."
14.9,enforce detailed audit logging for access to sensitive data or changes to sensitive data utilizing tools such as file integrity monitoring or security information and event monitoring.
15.1,maintain an inventory of authorized wireless access points connected to the wired network.
15.2,configure network vulnerability scanning tools to detect and alert on unauthorized wireless access points connected to the wired network.
15.3,use a wireless intrusion detection system wids to detect and alert on unauthorized wireless access points connected to the network.
15.4,disable wireless access on devices that do not have a business purpose for wireless access.
15.5,"configure wireless access on client machines that do have an essential wireless business purpose, to allow access only to authorized wireless networks and to restrict access to other wireless networks."
15.6,disable peer-to-peer ad hoc wireless network capabilities on wireless clients.
