ID,TEXT
APO01,clarify and maintain the governance of enterprise it mission and vision. implement and maintain mechanisms and authorities to manage information and the use of it in the enterprise in support of governance objectives in line with guiding principles and policies.
APO01.01,"establish an internal and extended organisational structure that reflects business needs and it priorities put in place the required management structures e g , committees that enable management decision making to take place in the most effective and efficient manner"
APO01.02,"establish, agree on and communicate roles and responsibilities of it personnel, as well as other stakeholders with responsibilities for enterprise it, that clearly reflect overall business needs and it objectives and relevant personnels authority, responsibilities and accountability"
APO01.03,"maintain the enablers of the management system and control environment for enterprise it, and ensure that they are integrated and aligned with the enterprises governance and management philosophy and operating style these enablers include the clear communication of expectationsrequirements the management system should encourage cross-divisional co-operation and teamwork, promote compliance and continuous improvement, and handle process deviationsincluding failure"
APO01.04,communicate awareness and understanding ofit objectives and direction to appropriate stakeholders and users throughout the enterprise
APO01.05,"position the it capability in the overall organisational structure to reflect an enterprise model relevant to the importance of it within the enterprise, specifically its criticality to enterprise strategy and the level of operational dependence on it the reporting line of the cio should be commensurate with the importance of it within the enterprise"
APO01.06,define and maintain responsibilities for ownership of information data and information systems ensure that owners make decisions about classifying information and systems and protecting them in line withthis classification
APO01.07,"assess, plan and execute the continual improvement of processes and their maturity to ensure that they are capable of delivering against enterprise, governance, management and control objectives consider cobitprocess implementation guidance, emerging standards, compliance requirements, automation opportunities, and the feedback of process users, the process team and other stakeholders update the process and consider impacts on process enablers"
APO01.08,"maintain compliance with policies and procedures. put in place procedures to maintain compliance with and performance measurement of policies and other enablers of the control framework, and enforce the consequences of non-compliance or inadequate performance. track trends and performance and consider these in the future design and improvement of the control framework."
APO02,"provide a holistic view of the current business and it environment, the future direction, and the initiatives required to migrate to the desired future environment. leverage enterprise architecture building blocks and components, including externally provided services and related capabilities to enable nimble, reliable and efficient response to strategic objectives."
APO02.01,"consider the current enterprise environment and business processes, as well as the enterprise strategy and future objectives consider also the external environment of the enterprise industry drivers, relevant regulations, basis for competition"
APO02.02,"assess the performance of current internal business and it capabilities and external it services, and develop an understanding of the enterprise architecture in relation to it identify issues currently being experienced and develop recommendations in areas that could benefit from improvement consider service provider differentiators and options and the financial impact and potential costs and benefits of using external services"
APO02.03,"define the target business and it capabilities and required it services this should be based on the understanding of the enterprise environment and requirements the assessment of the current business process and it environment and issues and consideration of reference standards, good practices and validated emerging technologies or innovation proposals"
APO02.04,identify the gaps between the current and target environments and consider the alignment of assets the capabilities that support services with businessoutcomes to optimise investment in and utilisation of the internal and external asset base consider the critical success factors to support strategy execution
APO02.05,"create a strategic plan that defines, in co-operation with relevant stakeholders, how it-related goals will contribute to the enterprises strategic goals include how it will support it-enabled investment programmes, business processes, it services and it assets direct it to define the initiatives that will be required to close the gaps, the sourcing strategy and the measurements to be used to monitor achievement of goals, then prioritise the initiatives and combine them in a high-level road map"
APO03,"establish a common architecture consisting of business process, information, data, application and technology architecture layers for effectively and efficiently realising enterprise and it strategies by creating key models and practices that describe the baseline and target architectures. define requirements for taxonomy, standards, guidelines, procedures, templates and tools, and provide a linkage for these components. improve alignment, increase agility, improve quality of information and generate potential cost savings through initiatives such as re-use of building block components."
