ID,TEXT
164.104(a),"except as otherwise provided, the standards, requirements, and implementation specifications adopted under this part apply to the following entities 1 a health plan. 2 a health care clearinghouse. 3 a health care provider who transmits any health information in electronic form in connection with a transaction covered by this subchapter."
164.104(b),"where provided, the standards, requirements, and implementation specifications adopted under this part apply to a business associate."
164.105(a)(1),"standard health care component. if a covered entity is a hybrid entity, the requirements of this part, other than the requirements of this section, 164.314, and 164.504, apply only to the health care component s of the entity, as specified in this section."
164.105(a)(2)(i),"implementation specifications i application of other provisions. in applying a provision of this part, other than the requirements of this section, 164.314, and 164.504, to a hybrid entity a a reference in such provision to a covered entity refers to a health care component of the covered entity b a reference in such provision to a health plan, covered health care provider, or health care clearinghouse, refers to a health care component of the covered entity if such health care component performs the functions of a health plan, health care provider, or health care clearinghouse, as applicable c a reference in such provision to protected health information refers to protected health information that is created or received by or on behalf of the health care component of the covered entity and d a reference in such provision to electronic protected health information refers to electronic protected health information that is created, received, maintained, or transmitted by or on behalf of the health care component of the covered entity."
164.105(a)(2)(ii),"safeguard requirements. the covered entity that is a hybrid entity must ensure that a health care component of the entity complies with the applicable requirements of this part. in particular, and without limiting this requirement, such covered entity must ensure that a its health care component does not disclose protected health information to another component of the covered entity in circumstances in which subpart e of this part would prohibit such disclosure if the health care component and the other component were separate and distinct legal entities b its health care component protects electronic protected health information with respect to another component of the covered entity to the same extent that it would be required under subpart c of this part to protect such information if the health care component and the other component were separate and distinct legal entities c if a person performs duties for both the health care component in the capacity of a member of the workforce of such component and for another component of the entity in the same capacity with respect to that component, such workforce member must not use or disclose protected health information created or received in the course of or incident to the member s work for the health care component in a way prohibited by subpart e of this part."
164.105(a)(2)(iii),"responsibilities of the covered entity. a covered entity that is a hybrid entity has the following responsibilities a for purposes of subpart c of part 160 of this subchapter, pertaining to compliance and enforcement, the covered entity has the responsibility of complying with this part. b the covered entity is responsible for complying with 164.316 a and 164.530 i , pertaining to the implementation of policies and procedures to ensure compliance with applicable requirements of this part, including the safeguard requirements in paragraph a 2 ii of this section. c the covered entity is responsible for complying with 164.314 and 164.504 regarding business associate arrangements and other organizational requirements. d the covered entity is responsible for designating the components that are part of one or more health care components of the covered entity and documenting the designation in accordance with paragraph c of this section, provided that, if the covered entity designates one or more health care components, it must include any component that would meet the definition of a covered entity or business associate if it were a separate legal entity. health care component s also may include a component only to the extent that it performs covered functions."
164.105(b)(1),standard affiliated covered entities. legally separate covered entities that are affiliated may designate themselves as a single covered entity for purposes of this part.
164.105(b)(2),"implementation specifications i requirements for designation of an affiliated covered entity. a legally separate covered entities may designate themselves including any health care component of such covered entity as a single affiliated covered entity, for purposes of this part, if all of the covered entities designated are under common ownership or control. b the designation of an affiliated covered entity must be documented and the documentation maintained as required by paragraph c of this section. ii safeguard requirements. an affiliated covered entity must ensure that it complies with the applicable requirements of this part, including, if the affiliated covered entity combines the functions of a health plan, health care provider, or health care clearinghouse, 164.308 a 4 ii a and 164.504 g , as applicable."
164.105(c)(1),standard documentation. a covered entity must maintain a written or electronic record of a designation as required by paragraphs a or b of this section.
164.105(c)(2),"implementation specification retention period. a covered entity must retain the documentation as required by paragraph c 1 of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later."
164.106,"in complying with the requirements of this part, covered entities and, where provided, business associates, are required to comply with the applicable provisions of parts 160 and 162 of this subchapter."
