ID,TEXT
A.5.1,to provide management direction and support for information security in accordance with business requirements and relevant laws and regulations.
A.5.1.1,"a set of policies for information security shall be defined, approved by management, published and communicated to employees and relevant external parties."
A.5.1.2,"the policies for information security shall be reviewed at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness."
A.6.1,to establish a management framework to initiate and control the implementation and operation of information security within the organization.
A.6.1.1,all information security responsibilities shall be defined and allocated.
A.6.1.2,conflicting duties and areas of responsibility shall be segregated to reduce opportunities for unauthorized or unintentional modification or misuse of the organizations assets.
A.6.1.3,appropriate contacts with relevant authorities shall be maintained.
A.6.1.4,appropriate contacts with special interest groups or other specialist security forums and professional associations shall be maintained.
A.6.1.5,"information security shall be addressed in project management, regardless of the type of the project."
A.6.2,to ensure the security of teleworking and use of mobile devices.
A.6.2.1,a policy and supporting security measures shall be adopted to manage the risks introduced by using mobile devices.
A.6.2.2,"a policy and supporting security measures shall be implemented to protect information accessed, processed or stored at teleworking sites."
A.7.1,to ensure that employees and contractors understand their responsibilities and are suitable for the roles for which they are considered.
A.7.1.1,"background verification checks on all candidates for employment shall be carried out in accordance with relevant laws, regulations and ethics and shall be proportional to the business requirements, the classification of the information to be accessed and the perceived risks."
A.7.1.2,the contractual agreements with employees and contractors shall state their and the organizations responsibilities for information security.
A.7.2,to ensure that employees and contractors are aware of and fulfil their information security responsibilities.
A.7.2.1,management shall require all employees and contractors to apply information security in accordance with the established policies and procedures of the organization.
A.7.2.2,"all employees of the organization and, where relevant, contractors shall receive appropriate awareness education and training and regular updates in organizational policies and procedures, as relevant for their job function."
A.7.2.3,there shall be a formal and communicated disciplinary process in place to take action against employees who have committed an information security breach.
A.7.3,to protect the organizations interests as part of the process of changing or terminating employment.
A.7.3.1,"information security responsibilities and duties that remain valid after termination or change of employment shall be defined, communicated to the employee or contractor and enforced."
A.8,"to identify organizational assets and define appropriate protection responsibilities. assets associated with information and information processing facilities shall be identified and an inventory of these assets shall be drawn up and maintained. assets maintained in the inventory shall be owned. rules for the acceptable use of information and of assets associated with information and information processing facilities shall be identified, documented and implemented. all employees and external party users shall return all of the organizational assets in their possession upon termination of their employment, contract or agreement. to ensure that information receives an appropriate level of protection in accordance with its importance to the organization. information shall be classified in terms of legal requirements, value, criticality and sensitivity to unauthorised disclosure or modification. an appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.procedures for handling assets shall be developed and implemented in accordance with the information classification scheme adopted by the organization. to prevent unauthorized disclosure, modification, removal or destruction of information stored on media.procedures shall be implemented for the management of removable media in accordance with the classification scheme adopted by the organization. procedures shall be implemented for the management of removable media in accordance with the classification scheme adopted by the organization. media shall be disposed of securely when no longer required, using formal procedures. media containing information shall be protected against unauthorized access, misuse or corruption during transportation."
A.8.1,to identify organizational assets and define appropriate protection responsibilities.
A.8.1.1,assets associated with information and information processing facilities shall be identified and an inventory of these assets shall be drawn up and maintained.
A.8.1.2,assets maintained in the inventory shall be owned.
A.8.1.3,"rules for the acceptable use of information and of assets associated with information and information processing facilities shall be identified, documented and implemented."
A.8.1.4,"all employees and external party users shall return all of the organizational assets in their possession upon termination of their employment, contract or agreement."
A.8.2,to ensure that information receives an appropriate level of protection in accordance with its importance to the organization.
A.8.2.1,"information shall be classified in terms of legal requirements, value, criticality and sensitivity to unauthorised disclosure or modification."
A.8.2.2,an appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.
A.8.2.3,procedures for handling assets shall be developed and implemented in accordance with the information classification scheme adopted by the organization.
A.8.3,"to prevent unauthorized disclosure, modification, removal or destruction of information stored on media."
A.8.3.1,procedures shall be implemented for the management of removable media in accordance with the classification scheme adopted by the organization.
A.8.3.2,"media shall be disposed of securely when no longer required, using formal procedures."
A.8.3.3,"media containing information shall be protected against unauthorized access, misuse or corruption during transportation."
A.9.1,to limit access to information and information processing facilities.
A.9.1.1,"an access control policy shall be established, documented and reviewed based on business and information security requirements."
A.9.1.2,users shall only be provided with access to the network and network services that they have been specifically authorized to use.
A.9.2,to ensure authorized user access and to prevent unauthorized access to systems and services.
A.9.2.1,a formal user registration and de-registration process shall be implemented to enable assignment of access rights.
A.9.2.2,a formal user access provisioning process shall be implemented to assign or revoke access rights for all user types to all systems and services.
A.9.2.3,the allocation and use of privileged access rights shall be restricted and controlled.
A.9.2.4,the allocation of secret authentication information shall be controlled through a formal management process.
A.9.2.5,asset owners shall review users access rights at regular intervals.
A.9.2.6,"the access rights of all employees and external party users to information and information processing facilities shall be removed upon termination of their employment, contract or agreement, or adjusted upon change."
A.9.3,to make users accountable for safeguarding their authentication information.
A.9.3.1,users shall be required to follow the organizations practices in the use of secret authentication information.
A.9.4,to prevent unauthorized access to systems and applications.
A.9.4.1,access to information and application system functions shall be restricted in accordance with the access control policy.
A.9.4.2,"where required by the access control policy, access to systems and applications shall be controlled by a secure log-on procedure."
A.9.4.3,password management systems shall be interactive and shall ensure quality passwords.
A.9.4.4,the use of utility programs that might be capable of overriding system and application controls shall be restricted and tightly controlled.
A.9.4.5,access to program source code shall be restricted.
A.10.1,"to ensure proper and effective use of cryptography to protect the confidentiality, authenticity andor integrity of information."
A.10.1.1,a policy on the use of cryptographic controls for protection of information shall be developed and implemented.
A.10.1.2,"a policy on the use, protection and lifetime of cryptographic keys shall be developed and implemented through their whole lifecycle."
A.11.1,"to prevent unauthorized physical access, damage and interference to the organizations information and information processing facilities."
A.11.1.1,security perimeters shall be defined and used to protect areas that contain either sensitive or critical information and information processing facilities.
A.11.1.2,secure areas shall be protected by appropriate entry controls to ensure that only authorized personnel are allowed access.
A.11.1.3,"physical security for offices, rooms and facilities shall be designed and applied."
A.11.1.4,"physical protection against natural disasters, malicious attack or accidents shall be designed and applied."
A.11.1.5,procedures for working in secure areas shall be designed and applied.
A.11.1.6,"access points such as delivery and loading areas and other points where unauthorized persons could enter the premises shall be controlled and, if possible, isolated from information processing facilities to avoid unauthorized access."
A.11.2,"to prevent loss, damage, theft or compromise of assets and interruption to the organizations operations."
A.11.2.1,"equipment shall be sited and protected to reduce the risks from environmental threats and hazards, and opportunities for unauthorized access."
A.11.2.2,equipment shall be protected from power failures and other disruptions caused by failures in supporting utilities.
A.11.2.3,"power and telecommunications cabling carrying data or supporting information services shall be protected from interception, interference or damage."
A.11.2.4,equipment shall be correctly maintained to ensure its continued availability and integrity.
A.11.2.5,"equipment, information or software shall not be taken off-site without prior authorization."
A.11.2.6,security shall be applied to offsite assets taking into account the different risks of working outside the organizations premises.
A.11.2.7,all items of equipment containing storage media shall be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
A.11.2.8,users shall ensure that unattended equipment has appropriate protection.
A.11.2.9,a clear desk policy for papers and removable storage media and a clear screen policy for information processing facilities shall be adopted.
A.12.1,to ensure correct and secure operations of information processing facilities.
A.12.1.1,operating procedures shall be documented and made available to all users who need them.
A.12.1.2,"changes to the organization, business processes, information processing facilities and systems that affect information security shall be controlled."
A.12.1.3,"the use of resources shall be monitored, tuned and projections made of future capacity requirements to ensure the required system performance."
A.12.1.4,"development, testing, and operational environments shall be separated to reduce the risks of unauthorized access or changes to the operational environment."
A.12.2,to ensure that information and information processing facilities are protected against malware.
A.12.2.1,"detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate user awareness."
A.12.3,to protect against loss of data.
A.12.3.1,"backup copies of information, software and system images shall be taken and tested regularly in accordance with an agreed backup policy."
A.12.4,to record events and generate evidence.
A.12.4.1,"event logs recording user activities, exceptions, faults and information security events shall be produced, kept and regularly reviewed."
