ID,TEXT
1.1,establish and implement firewall and router configuration standards that include the following
1.1.1,a formal process for approving and testing all network connections and changes to the firewall and router configurations
1.1.2,"current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless networks"
1.1.3,current diagram that shows all cardholder data flows across systems and networks
1.1.4,requirements for a firewall at each internet connection and between any demilitarized zone dmz and the internal network zone
1.1.5,"description of groups, roles, and responsibilities for management of network components"
1.1.6,"documentation of business justification and approval for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure."
1.1.7,requirement to review firewall and router rule sets at least every six months
1.2,build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment.
1.2.1,"restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic."
1.2.2,secure and synchronize router configuration files.
1.2.3,"install perimeter firewalls between all wireless networks and the cardholder data environment, and configure these firewalls to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment."
1.3,prohibit direct public access between the internet and any system component in the cardholder data environment.
1.3.1,"implement a dmz to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports."
1.3.2,limit inbound internet traffic to ip addresses within the dmz.
1.3.3,implement anti-spoofing measures to detect and block forged source ip addresses from entering the network.
1.3.4,do not allow unauthorized outbound traffic from the cardholder data environment to the internet.
1.3.5,permit only established connections into the network.
1.3.6,"place system components that store cardholder data such as a database in an internal network zone, segregated from the dmz and other untrusted networks."
1.3.7,do not disclose private ip addresses and routing information to unauthorized parties.
1.4,"install personal firewall software or equivalent functionality on any portable computing devices including company andor employee-owned that connect to the internet when outside the network for example, laptops used by employees, and which are also used to access the cde. firewall or equivalent configurations include specific configuration settings are defined. personal firewall or equivalent functionality is actively running. personal firewall or equivalent functionality is not alterable by users of the portable computing devices."
1.5,"ensure that security policies and operational procedures for managing firewalls are documented, in use, and known to all affected parties."
2,"always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network. for wireless environments connected to the cardholder data environment or transmitting cardholder data, change all wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and snmp community strings. develop configuration standards for all system components. assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards. implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. for example, web servers, database servers, and dns should be implemented on separate servers. enable only necessary services, protocols, daemons, etc., as required for the function of the system. implement additional security features for any required services, protocols, or daemons that are considered to be insecure. configure system security parameters to prevent misuse. remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers. encrypt all non-console administrative access using strong cryptography. maintain an inventory of system components that are in scope for pci dss. ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties. shared hosting providers must"
2.1,always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network.
2.1.1,"for wireless environments connected to the cardholder data environment or transmitting cardholder data, change all wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and snmp community strings."
2.2,develop configuration standards for all system components. assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards.
2.2.1,"implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. for example, web servers, database servers, and dns should be implemented on separate servers."
2.2.2,"enable only necessary services, protocols, daemons, etc., as required for the function of the system."
2.2.3,"implement additional security features for any required services, protocols, or daemons that are considered to be insecure."
2.2.4,configure system security parameters to prevent misuse.
2.2.5,"remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers."
2.3,encrypt all non-console administrative access using strong cryptography.
2.4,maintain an inventory of system components that are in scope for pci dss.
2.5,"ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties."
2.6,shared hosting providers must
3.1,"keep cardholder data storage to a minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all cardholder data chd storage limiting data storage amount and retention time to that which is required for legal, regulatory, andor business requirements specific retention requirements for cardholder data processes for secure deletion of data when no longer needed a quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention.pci dss requirements"
3.2,"do not store sensitive authentication data after authorization even if encrypted. if sensitive authentication data is received, render all data unrecoverable upon completion of the authorization process."
3.2.1,"do not store the full contents of any track from the magnetic stripe located on the back of a card, equivalent data contained on a chip, or elsewhere after authorization. this data is alternatively called full track, track, track , track , and magnetic-stripe data."
3.2.2,do not store the card verification code or value three-digit or four-digit number printed on the front or back of a payment card used to verify card-not- present transactions after authorization.
3.2.3,do not store the personal identification number pin or the encrypted pin block after authorization.
3.3,"mask pan when displayed the first six and last four digits are the maximum number of digits to be displayed, such that only personnel with a legitimate business need can see more than the first sixlast four digits of the pan."
3.4,"render pan unreadable anywhere it is stored including on portable digital media, backup media, and in logs by using any of the following approaches one-way hashes based on strong cryptography, hash must be of the entire pan truncation hashing cannot be used to replace the truncated segment of pan index tokens and pads pads must be securely stored strong cryptography with associated key-management processes and procedures."
3.4.1,"if disk encryption is used rather than file- or column-level database encryption, logical access must be managed separately and independently of native operating system authentication and access control mechanisms for example, by not using local user account databases or general network login credentials. decryption keys must not be associated with user accounts."
3.5,document and implement procedures to protect keys used to secure stored cardholder data against disclosure and misuse
3.5.1,"additional requirement for service providers only maintain a documented description of the cryptographic architecture that includes details of all algorithms, protocols, and keys used for the protection of cardholder data, including key strength and expiry date description of the key usage for each key inventory of any hsms and other scds used for key management"
3.5.2,restrict access to cryptographic keys to the fewest number of custodians necessary.
3.5.3,"store secret and private keys used to encryptdecrypt cardholder data in one or more of the following forms at all times encrypted with a key-encrypting key that is at least as strong as the data- encrypting key, and that is stored separately from the data-encrypting key within a secure cryptographic device such as a hardware host security module hsm or pts-approved point-of-interaction device as at least two full-length key components or key shares, in accordance with an industry- accepted method"
3.5.4,store cryptographic keys in the fewest possible locations.
3.6,"fully document and implement all key- management processes and procedures for cryptographic keys used for encryption of cardholder data, including the following"
3.6.1,generation of strong cryptographic keys
3.6.2,secure cryptographic key distribution
3.6.3,secure cryptographic key storage
3.6.4,"cryptographic key changes for keys that have reached the end of their cryptoperiod for example, after a defined period of time has passed andor after a certain amount of cipher-text has been produced by a given key, as defined by the associated application vendor or key owner, and based on industry best practices and guidelines for example, nist special publication -."
3.6.5,"retirement or replacement for example, archiving, destruction, andor revocation of keys as deemed necessary when the integrity of the key has been weakened for example, departure of an employee with knowledge of a clear-text key component, or keys are suspected of being compromised."
3.6.6,"if manual clear-text cryptographic key-management operations are used, these operations must be managed using split knowledge and dual control."
3.6.7,prevention of unauthorized substitution of cryptographic keys.
